# Filename	binding_0\9c74122a-4730-455f-b2cd-85e8852ca4da.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:38:59
# Dir	-1
# field	4.6672571213650907e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	4.6672571213650907e-11	NaN	NaN	NaN	-21460.82593439529	3.464219113184566e6	0.
-0.00004164333941135815	4.6672571213650907e-11	NaN	NaN	NaN	-23399.76783309176	3.938268099931999e6	0.
-0.0000378437646475481	4.6672571213650907e-11	NaN	NaN	NaN	-25615.218150559558	4.502249847469878e6	0.
-0.000045442914175168206	4.6672571213650907e-11	NaN	NaN	NaN	-21529.56613861789	3.4807005674459217e6	0.
-0.00004149135642080575	4.6672571213650907e-11	NaN	NaN	NaN	-23481.18758211746	3.9585819390105973e6	0.
-0.0000376917816569957	4.6672571213650907e-11	NaN	NaN	NaN	-25712.332962912926	4.527492330224968e6	0.
-0.000034044189883738054	4.6672571213650907e-11	NaN	NaN	NaN	-28277.370212148093	5.209330346008153e6	0.
-0.0000452909311846158	4.6672571213650907e-11	NaN	NaN	NaN	-21598.738701408634	3.4973087266773293e6	0.
-0.00004133937343025335	4.6672571213650907e-11	NaN	NaN	NaN	-23563.16154950714	3.9790673915801956e6	0.
-0.0000375397986664433	4.6672571213650907e-11	NaN	NaN	NaN	-25810.164669831967	4.552966449696904e6	0.
-0.00003389220689318565	4.6672571213650907e-11	NaN	NaN	NaN	-28394.994802615543	5.241275809592059e6	0.
-0.0000451389481940634	4.6672571213650907e-11	NaN	NaN	NaN	-21668.34762514231	3.514047910538659e6	0.
-0.000041187390439700946	4.6672571213650907e-11	NaN	NaN	NaN	-23645.695265277398	3.999724732955576e6	0.
-0.0000373878156758909	4.6672571213650907e-11	NaN	NaN	NaN	-25908.72098937351	4.578671196980158e6	0.
-0.00003374022390263325	4.6672571213650907e-11	NaN	NaN	NaN	-28513.56611576317	5.273540942306061e6	0.
-0.000044986965203511	4.6672571213650907e-11	NaN	NaN	NaN	-21738.396960605678	3.530916531357122e6	-3.082585380815866e-7
