# Filename	binding_0\a40d858c-a282-435a-95ea-ed9473e462b9.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:53:18
# Dir	1
# field	4.0838499811944544e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	4.0838499811944544e-11	NaN	NaN	NaN	22380.931117132284	3.7478563061034647e6	-2.5135424418450477e-7
-0.00004164333941135815	4.0838499811944544e-11	NaN	NaN	NaN	24607.258378154158	4.327832758892801e6	-2.902259811801297e-7
-0.0000378437646475481	4.0838499811944544e-11	NaN	NaN	NaN	27224.24281753563	5.047007190720793e6	0.
-0.000034044189883738054	4.0838499811944544e-11	NaN	NaN	NaN	30488.661259338474	5.999284209146203e6	-4.142503863636506e-7
-0.000045442914175168206	4.0838499811944544e-11	NaN	NaN	NaN	22458.926681484332	3.767670791459474e6	0.
-0.00004149135642080575	4.0838499811944544e-11	NaN	NaN	NaN	24701.992629299755	4.353167427360007e6	-2.681632676574635e-7
-0.0000376917816569957	4.0838499811944544e-11	NaN	NaN	NaN	27340.915759806932	5.079995041614689e6	0.
-0.00003389220689318565	4.0838499811944544e-11	NaN	NaN	NaN	30636.25217040073	6.0437640217726305e6	0.
-0.0000452909311846158	4.0838499811944544e-11	NaN	NaN	NaN	22537.479317765617	3.7876636546097477e6	0.
-0.00004133937343025335	4.0838499811944544e-11	NaN	NaN	NaN	24797.47798668799	4.37875766040555e6	0.
-0.0000375397986664433	4.0838499811944544e-11	NaN	NaN	NaN	27458.62494688869	5.1133556401865855e6	0.
-0.00003374022390263325	4.0838499811944544e-11	NaN	NaN	NaN	30785.33677405728	6.088817287068523e6	0.
-0.0000451389481940634	4.0838499811944544e-11	NaN	NaN	NaN	22616.59514074743	3.8078372997985273e6	-2.095530702988037e-7
-0.000041187390439700946	4.0838499811944544e-11	NaN	NaN	NaN	24893.723645760343	4.404605910511449e6	0.
-0.0000373878156758909	4.0838499811944544e-11	NaN	NaN	NaN	27577.384676692633	5.147093997650947e6	0.
-0.00003358824091208085	4.0838499811944544e-11	NaN	NaN	NaN	30935.938752777318	6.134456573905356e6	0.
-0.000044986965203511	4.0838499811944544e-11	NaN	NaN	NaN	22696.28035683738	3.8281961883302513e6	0.
-0.00004103540744914855	4.0838499811944544e-11	NaN	NaN	NaN	24990.738956336107	4.430713895747971e6	0.
-0.00003723583268533849	4.0838499811944544e-11	NaN	NaN	NaN	27697.2095191903	5.181217194823201e6	0.
-0.000033436257921528444	4.0838499811944544e-11	NaN	NaN	NaN	31088.082310791793	6.180690575729763e6	0.
-0.000044834982212958595	4.0838499811944544e-11	NaN	NaN	NaN	22776.541265836073	3.8487389168989556e6	-6.519795030428926e-7
-0.00004088342445859614	4.0838499811944544e-11	NaN	NaN	NaN	25088.533425940383	4.457088816442276e6	0.
-0.00003708384969478609	4.0838499811944544e-11	NaN	NaN	NaN	27818.114323092144	5.215731563289042e6	0.
-0.000033284274930976045	4.0838499811944544e-11	NaN	NaN	NaN	31241.792189023497	6.227533029414439e6	0.
-0.000044682999222406196	4.0838499811944544e-11	NaN	NaN	NaN	22857.384262733878	3.869471367588191e6	0.
-0.00004073144146804374	4.0838499811944544e-11	NaN	NaN	NaN	25187.11672321966	4.483734823421603e6	0.
-0.000036931866704233694	4.0838499811944544e-11	NaN	NaN	NaN	27940.11422272983	5.250643223198338e6	0.
-0.00003313229194042364	4.0838499811944544e-11	NaN	NaN	NaN	31397.093680547066	6.274994853612311e6	0.
-0.00004453101623185379	4.0838499811944544e-11	NaN	NaN	NaN	22938.81583955107	3.890394084494736e6	0.
-0.00004057945847749134	4.0838499811944544e-11	NaN	NaN	NaN	25286.498681448687	4.510651102002923e6	-6.161220402268291e-7
-0.00003677988371368129	4.0838499811944544e-11	NaN	NaN	NaN	28063.22464514867	5.285958124050461e6	-5.706772056066205e-7
-0.00003298030894987124	4.0838499811944544e-11	NaN	NaN	NaN	31554.01264660313	6.323087570095044e6	0.
