# Filename	binding_0\a7e4e67b-79cb-4008-a6f6-e37474f03eea.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:45:49
# Dir	1
# field	7.778761868941818e-12
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	7.778761868941818e-12	NaN	NaN	NaN	22014.964540537734	3.6332560460531577e6	0.
-0.00004164333941135815	7.778761868941818e-12	NaN	NaN	NaN	24122.135740917984	4.168370850595013e6	0.
-0.0000378437646475481	7.778761868941818e-12	NaN	NaN	NaN	26569.537973460145	4.820328941045793e6	0.
-0.000034044189883738054	7.778761868941818e-12	NaN	NaN	NaN	29573.42236246858	5.663279133505347e6	0.
-0.000045442914175168206	7.778761868941818e-12	NaN	NaN	NaN	22089.15327914198	3.6516719180013705e6	0.
-0.00004149135642080575	7.778761868941818e-12	NaN	NaN	NaN	24211.303204295094	4.1915575753367236e6	0.
-0.0000376917816569957	7.778761868941818e-12	NaN	NaN	NaN	26677.86360874812	4.849920234446526e6	0.
-0.00003389220689318565	7.778761868941818e-12	NaN	NaN	NaN	29707.867862488627	5.70207555950597e6	0.
-0.0000452909311846158	7.778761868941818e-12	NaN	NaN	NaN	22163.84565366822	3.670244826055125e6	0.
-0.00004133937343025335	7.778761868941818e-12	NaN	NaN	NaN	24301.13538197723	4.214961334777881e6	0.
-0.0000375397986664433	7.778761868941818e-12	NaN	NaN	NaN	26787.081138790294	4.8798174454968115e6	0.
-0.00003374022390263325	7.778761868941818e-12	NaN	NaN	NaN	29843.54993366424	5.7413209024240775e6	0.
-0.0000451389481940634	7.778761868941818e-12	NaN	NaN	NaN	22239.04682983843	3.688976194136475e6	0.
-0.000041187390439700946	7.778761868941818e-12	NaN	NaN	NaN	24391.639769147714	4.238585480678879e6	0.
-0.0000373878156758909	7.778761868941818e-12	NaN	NaN	NaN	26897.20168644255	4.910024371668861e6	0.
-0.00003358824091208085	7.778761868941818e-12	NaN	NaN	NaN	29980.48583483257	5.781020436849556e6	0.
-0.000044986965203511	7.778761868941818e-12	NaN	NaN	NaN	22314.762044534065	3.707868121119351e6	-1.1306421840492985e-7
