# Filename	binding_0\abb43d56-8e39-43c8-aeaa-c04be47803be.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:35:11
# Dir	-1
# field	3.2087392709385e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	3.2087392709385e-11	NaN	NaN	NaN	-21603.821258215972	3.5073306852112436e6	0.
-0.00004164333941135815	3.2087392709385e-11	NaN	NaN	NaN	-23584.841424975835	3.996402244970833e6	0.
-0.0000378437646475481	3.2087392709385e-11	NaN	NaN	NaN	-25857.522635144396	4.58166019594892e6	-2.1305050896863187e-7
-0.000034044189883738054	3.2087392709385e-11	NaN	NaN	NaN	-28602.50742513857	5.320883582155377e6	0.
-0.000045442914175168206	3.2087392709385e-11	NaN	NaN	NaN	-21673.932346719583	3.524290536491768e6	-3.6485123177845267e-7
-0.00004149135642080575	3.2087392709385e-11	NaN	NaN	NaN	-23668.187069848995	4.017417652315852e6	0.
-0.0000376917816569957	3.2087392709385e-11	NaN	NaN	NaN	-25957.381988394045	4.607945820742789e6	0.
-0.00003389220689318565	3.2087392709385e-11	NaN	NaN	NaN	-28724.16685406201	5.354425495547972e6	-2.2286386987962593e-7
-0.0000452909311846158	3.2087392709385e-11	NaN	NaN	NaN	-21744.49315818872	3.5413875800404083e6	0.
-0.00004133937343025335	3.2087392709385e-11	NaN	NaN	NaN	-23752.113357193844	4.0386145518559674e6	0.
-0.0000375397986664433	3.2087392709385e-11	NaN	NaN	NaN	-26057.99911659522	4.6344775565667525e6	0.
-0.00003374022390263325	3.2087392709385e-11	NaN	NaN	NaN	-28846.838618665428	5.388315963746865e6	0.
-0.0000451389481940634	3.2087392709385e-11	NaN	NaN	NaN	-21815.50796735172	3.558618523001403e6	0.
-0.000041187390439700946	3.2087392709385e-11	NaN	NaN	NaN	-23836.626264977032	4.059995290404859e6	0.
-0.0000373878156758909	3.2087392709385e-11	NaN	NaN	NaN	-26159.382488049872	4.661258863685568e6	-5.619996096070789e-7
-0.00003358824091208085	3.2087392709385e-11	NaN	NaN	NaN	-28970.535065822052	5.4225550419846065e6	0.
-0.000044986965203511	3.2087392709385e-11	NaN	NaN	NaN	-21886.981102424863	3.5759886611029995e6	0.
-0.00004103540744914855	3.2087392709385e-11	NaN	NaN	NaN	-23921.731851941702	4.081563775978615e6	0.
-0.00003723583268533849	3.2087392709385e-11	NaN	NaN	NaN	-26261.540694785683	4.688294032087427e6	-1.718148852465837e-7
-0.000033436257921528444	3.2087392709385e-11	NaN	NaN	NaN	-29095.268738235078	5.457148645157918e6	0.
-0.000044834982212958595	3.2087392709385e-11	NaN	NaN	NaN	-21958.916945937344	3.593497936201418e6	-3.625307789449743e-7
-0.00004088342445859614	3.2087392709385e-11	NaN	NaN	NaN	-24007.436258948725	4.1033184017062285e6	0.
-0.00003708384969478609	3.2087392709385e-11	NaN	NaN	NaN	-26364.48245476759	4.715586365302759e6	0.
-0.000033284274930976045	3.2087392709385e-11	NaN	NaN	NaN	-29221.052378213382	5.492102563246537e6	0.
-0.000044682999222406196	3.2087392709385e-11	NaN	NaN	NaN	-22031.31993557148	3.6111506779478746e6	0.
-0.00004073144146804374	3.2087392709385e-11	NaN	NaN	NaN	-24093.74571034417	4.1252611213657004e6	0.
-0.000036931866704233694	3.2087392709385e-11	NaN	NaN	NaN	-26468.216614155815	4.743138194889394e6	0.
-0.00003313229194042364	3.2087392709385e-11	NaN	NaN	NaN	-29347.8989315313	5.527419337879094e6	0.
-0.00004453101623185379	3.2087392709385e-11	NaN	NaN	NaN	-22104.194565018715	3.628942387176834e6	-2.394236090129799e-7
-0.00004057945847749134	3.2087392709385e-11	NaN	NaN	NaN	-24180.666515353776	4.1473987872249014e6	0.
-0.00003677988371368129	3.2087392709385e-11	NaN	NaN	NaN	-26572.752149610096	4.770952343491233e6	-8.860640885296511e-7
-0.00003298030894987124	3.2087392709385e-11	NaN	NaN	NaN	-29475.821551375702	5.563107778972935e6	0.
-0.00004437903324130139	3.2087392709385e-11	NaN	NaN	NaN	-22177.545384850433	3.6468808742169035e6	0.
-0.00004042747548693894	3.2087392709385e-11	NaN	NaN	NaN	-24268.205069504173	4.1697308597855926e6	-2.4099663737583813e-7
-0.00003662790072312889	3.2087392709385e-11	NaN	NaN	NaN	-26678.098170643585	4.7990347771212105e6	0.
-0.000032828325959318834	3.2087392709385e-11	NaN	NaN	NaN	-29604.833602380833	5.599168576198511e6	0.
-0.000044227050250748985	3.2087392709385e-11	NaN	NaN	NaN	-22251.37700340577	3.6649641097374177e6	-3.2719414023274236e-7
-0.00004027549249638654	3.2087392709385e-11	NaN	NaN	NaN	-24356.367856072553	4.1922613923777402e6	0.
-0.00003647591773257648	3.2087392709385e-11	NaN	NaN	NaN	-26784.26392202634	4.827386858054864e6	0.
-0.000032676342968766434	3.2087392709385e-11	NaN	NaN	NaN	-29734.948664755644	5.635611280533054e6	0.
-0.000044075067260196586	3.2087392709385e-11	NaN	NaN	NaN	-22325.694087694625	3.683196358011002e6	0.
-0.00004012350950583413	3.2087392709385e-11	NaN	NaN	NaN	-24445.16144756567	4.214991410109014e6	0.
-0.00003632393474202408	3.2087392709385e-11	NaN	NaN	NaN	-26891.258786238814	4.856012686016913e6	0.
-0.000032524359978214035	3.2087392709385e-11	NaN	NaN	NaN	-29866.18053850309	5.672439044866284e6	-8.583209247730785e-7
-0.000043923084269644186	3.2087392709385e-11	NaN	NaN	NaN	-22400.501364318712	3.7015761485002288e6	-1.9074496101775198e-7
-0.00003997152651528173	3.2087392709385e-11	NaN	NaN	NaN	-24534.592507226527	4.23792293443624e6	0.
-0.000036171951751471684	3.2087392709385e-11	NaN	NaN	NaN	-26999.092285978364	4.884915236854412e6	-8.792785233630754e-7
-0.00003237237698766163	3.2087392709385e-11	NaN	NaN	NaN	-29998.543247735935	5.709660194254044e6	0.
-0.00004377110127909178	3.2087392709385e-11	NaN	NaN	NaN	-22475.80362040828	3.720108140801469e6	0.
-0.000039819543524729326	3.2087392709385e-11	NaN	NaN	NaN	-24624.667790572712	4.26105960793615e6	0.
-0.00003601996876091928	3.2087392709385e-11	NaN	NaN	NaN	-27107.774086718357	4.914099729963337e6	-2.5694317950339106e-7
-0.00003222039399710923	3.2087392709385e-11	NaN	NaN	NaN	-30132.051045091095	5.7472774690832e6	0.
-0.00004361911828853938	3.2087392709385e-11	NaN	NaN	NaN	-22551.6057045778	3.738791892053575e6	-3.241774432696018e-7
-0.00003966756053417693	3.2087392709385e-11	NaN	NaN	NaN	-24715.39414696412	4.284402802297074e6	-2.087285974394662e-7
-0.00003586798577036688	3.2087392709385e-11	NaN	NaN	NaN	-27217.31399932239	4.943570335678936e6	0.
-0.000032068411006556824	3.2087392709385e-11	NaN	NaN	NaN	-30266.71841624363	5.78529659500377e6	0.
-0.000043467135297986975	3.2087392709385e-11	NaN	NaN	NaN	-22627.912527897504	3.757631166149526e6	0.
-0.00003951557754362453	3.2087392709385e-11	NaN	NaN	NaN	-24806.77852120253	4.307956326859102e6	-1.7168069598538833e-7
-0.00003571600277981447	3.2087392709385e-11	NaN	NaN	NaN	-27327.72198271424	4.973327846549877e6	0.
-0.000031916428016004425	3.2087392709385e-11	NaN	NaN	NaN	-30402.560084524965	5.823725215072391e6	0.
-0.000043315152307434576	3.2087392709385e-11	NaN	NaN	NaN	-22704.72906488511	3.776625600128167e6	0.
-0.00003936359455307212	3.2087392709385e-11	NaN	NaN	NaN	-24898.827955163422	4.331722989000878e6	0.
-0.000035564019789262074	3.2087392709385e-11	NaN	NaN	NaN	-27439.008146605087	5.003379299792287e6	0.
-0.000031764445025452026	3.2087392709385e-11	NaN	NaN	NaN	-30539.59101564629	5.862567830758368e6	-3.1219109363945777e-7
-0.00004316316931688218	3.2087392709385e-11	NaN	NaN	NaN	-22782.060354514713	3.7957782886461895e6	0.
-0.00003921161156251972	3.2087392709385e-11	NaN	NaN	NaN	-24991.549589460385	4.35570478322901e6	0.
-0.00003541203679870967	3.2087392709385e-11	NaN	NaN	NaN	-27551.18275427897	5.033726992608346e6	0.
-0.00003161246203489962	3.2087392709385e-11	NaN	NaN	NaN	-30677.82642253059	5.9018346164364815e6	0.
-0.00004301118632632977	3.2087392709385e-11	NaN	NaN	NaN	-22859.91150124496	3.8150904592882036e6	0.
-0.00003905962857196732	3.2087392709385e-11	NaN	NaN	NaN	-25084.95066514251	4.379902292501059e6	0.
-0.00003526005380815727	3.2087392709385e-11	NaN	NaN	NaN	-27664.25622543922	5.064373143654858e6	-8.690221542924436e-7
-0.00003146047904434722	3.2087392709385e-11	NaN	NaN	NaN	-30817.281770256854	5.941523350686705e6	-1.8814726085442017e-7
-0.00004285920333577737	3.2087392709385e-11	NaN	NaN	NaN	-22938.2876760671	3.8345644203429315e6	0.
-0.00003890764558141492	3.2087392709385e-11	NaN	NaN	NaN	-25179.03852542712	4.404321477569292e6	0.
-0.00003510807081760487	3.2087392709385e-11	NaN	NaN	NaN	-27778.239139115678	5.095327587137245e6	0.
-0.000031308496053794814	3.2087392709385e-11	NaN	NaN	NaN	-30957.97278111709	5.981648805084078e6	0.
-0.000042707220345224966	3.2087392709385e-11	NaN	NaN	NaN	-23017.194117572013	3.8542024053279595e6	0.
-0.00003875566259086252	3.2087392709385e-11	NaN	NaN	NaN	-25273.820617466612	4.428963072410115e6	0.
-0.00003495608782705246	3.2087392709385e-11	NaN	NaN	NaN	-27893.142236635278	5.126587731053131e6	0.
-0.000031156513063242415	3.2087392709385e-11	NaN	NaN	NaN	-31099.91543979211	6.022213231017063e6	0.
-0.000042555237354672566	3.2087392709385e-11	NaN	NaN	NaN	-23096.63613303789	3.874004069225569e6	-2.2475562776273859e-7
-0.00003860367960031011	3.2087392709385e-11	NaN	NaN	NaN	-25369.304494151977	4.453830266138714e6	-2.8387678012181847e-7
-0.000034804104836500064	3.2087392709385e-11	NaN	NaN	NaN	-28008.976424657165	5.15816180557327e6	0.
