# Filename	binding_0\b2c42ca3-0d62-4637-8e79-2ede403c517d.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:46:37
# Dir	1
# field	1.1279204709965636e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	1.1279204709965636e-11	NaN	NaN	NaN	22052.583183986575	3.644925849791918e6	0.
-0.00004164333941135815	1.1279204709965636e-11	NaN	NaN	NaN	24171.6952766132	4.184477130344967e6	0.
-0.0000378437646475481	1.1279204709965636e-11	NaN	NaN	NaN	26635.887642563106	4.842981651108182e6	0.
-0.000034044189883738054	1.1279204709965636e-11	NaN	NaN	NaN	29665.14816877883	5.696363648594842e6	0.
-0.000045442914175168206	1.1279204709965636e-11	NaN	NaN	NaN	22127.155377376093	3.663481511343839e6	0.
-0.00004149135642080575	1.1279204709965636e-11	NaN	NaN	NaN	24261.41759449805	4.207874511278093e6	0.
-0.0000376917816569957	1.1279204709965636e-11	NaN	NaN	NaN	26745.033935050258	4.872900647075853e6	0.
-0.00003389220689318565	1.1279204709965636e-11	NaN	NaN	NaN	29800.861516288776	5.735695693354805e6	0.
-0.0000452909311846158	1.1279204709965636e-11	NaN	NaN	NaN	22202.236452476063	3.682195113503244e6	0.
-0.00004133937343025335	1.1279204709965636e-11	NaN	NaN	NaN	24351.8129719776	4.23149267612597e6	0.
-0.0000375397986664433	1.1279204709965636e-11	NaN	NaN	NaN	26855.08577514881	4.903131817244722e6	0.
-0.00003374022390263325	1.1279204709965636e-11	NaN	NaN	NaN	29937.83504420326	5.775486723969856e6	-4.5661677932156927e-7
-0.0000451389481940634	1.1279204709965636e-11	NaN	NaN	NaN	22277.831665306956	3.7010700950084226e6	0.
-0.000041187390439700946	1.1279204709965636e-11	NaN	NaN	NaN	24442.889062322363	4.255334050472576e6	0.
-0.0000373878156758909	1.1279204709965636e-11	NaN	NaN	NaN	26966.054572142984	4.933682619829372e6	0.
