# Filename	binding_0\b325afc7-be52-4544-a23f-0657c65d8aea.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:52:04
# Dir	1
# field	3.539336650368527e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	3.539336650368527e-11	NaN	NaN	NaN	22318.960524890426	3.728281748042334e6	0.
-0.00004164333941135815	3.539336650368527e-11	NaN	NaN	NaN	24524.632853587093	4.300387701910414e6	0.
-0.0000378437646475481	3.539336650368527e-11	NaN	NaN	NaN	27111.89199912345	5.00760417746755e6	0.
-0.000034044189883738054	3.539336650368527e-11	NaN	NaN	NaN	30329.949640577914	5.9400678001271e6	-4.215035010785487e-7
-0.000045442914175168206	3.539336650368527e-11	NaN	NaN	NaN	22396.29932772511	3.7478517777370964e6	0.
-0.00004149135642080575	3.539336650368527e-11	NaN	NaN	NaN	24618.3973245166	4.325342736250111e6	0.
-0.0000376917816569957	3.539336650368527e-11	NaN	NaN	NaN	27227.092289295313	5.039983769641258e6	0.
-0.00003389220689318565	3.539336650368527e-11	NaN	NaN	NaN	30475.18028554259	5.98350632756482e6	0.
-0.0000452909311846158	3.539336650368527e-11	NaN	NaN	NaN	22474.185767156345	3.767597349633341e6	0.
-0.00004133937343025335	3.539336650368527e-11	NaN	NaN	NaN	24712.897423398485	4.350546049260368e6	0.
-0.0000375397986664433	3.539336650368527e-11	NaN	NaN	NaN	27343.30246861682	5.0727212525824215e6	-2.0598616746806294e-7
-0.00003374022390263325	3.539336650368527e-11	NaN	NaN	NaN	30621.856428411564	6.0274944278834155e6	0.
-0.0000451389481940634	3.539336650368527e-11	NaN	NaN	NaN	22552.625785702323	3.78751951468702e6	0.
-0.000041187390439700946	3.539336650368527e-11	NaN	NaN	NaN	24808.14203077692	4.376000491760015e6	0.
-0.0000373878156758909	3.539336650368527e-11	NaN	NaN	NaN	27460.536231386868	5.105827385461262e6	0.
-0.00003358824091208085	3.539336650368527e-11	NaN	NaN	NaN	30770.00048545037	6.072041567520299e6	-5.447253773830664e-7
-0.000044986965203511	3.539336650368527e-11	NaN	NaN	NaN	22631.625413682756	3.8076211108827884e6	0.
-0.00004103540744914855	3.539336650368527e-11	NaN	NaN	NaN	24904.140173737254	4.401708560022037e6	-2.524399684632286e-7
-0.00003723583268533849	3.539336650368527e-11	NaN	NaN	NaN	27578.80752698889	5.139302462144457e6	0.
-0.000033436257921528444	3.539336650368527e-11	NaN	NaN	NaN	30919.63535362809	6.117161196754367e6	0.
-0.000044834982212958595	3.539336650368527e-11	NaN	NaN	NaN	22711.190770873138	3.8279043744809777e6	0.
-0.00004088342445859614	3.539336650368527e-11	NaN	NaN	NaN	25000.9010290015	4.427676730617884e6	0.
-0.00003708384969478609	3.539336650368527e-11	NaN	NaN	NaN	27698.130566000782	5.173155461374334e6	-3.756184944582622e-7
-0.000033284274930976045	3.539336650368527e-11	NaN	NaN	NaN	31070.784423951598	6.162865171166253e6	0.
-0.000044682999222406196	3.539336650368527e-11	NaN	NaN	NaN	22791.32806819808	3.848372078363879e6	0.
-0.00004073144146804374	3.539336650368527e-11	NaN	NaN	NaN	25098.433926104743	4.45390623862548e6	0.
-0.000036931866704233694	3.539336650368527e-11	NaN	NaN	NaN	27818.519826484808	5.207393770582009e6	0.
-0.00003313229194042364	3.539336650368527e-11	NaN	NaN	NaN	31223.47159525667	6.209153637972331e6	0.
-0.00004453101623185379	3.539336650368527e-11	NaN	NaN	NaN	22872.043609463122	3.869026232773725e6	0.
-0.00004057945847749134	3.539336650368527e-11	NaN	NaN	NaN	25196.74835065355	4.4804010945107965e6	-3.135366114292059e-7
-0.00003677988371368129	3.539336650368527e-11	NaN	NaN	NaN	27939.99006046559	5.242023074022559e6	0.
-0.00003298030894987124	3.539336650368527e-11	NaN	NaN	NaN	31377.72128847739	6.256048170405399e6	0.
-0.00004437903324130139	3.539336650368527e-11	NaN	NaN	NaN	22953.34379312771	3.8898685323804677e6	-1.6485515776424666e-7
-0.00004042747548693894	3.539336650368527e-11	NaN	NaN	NaN	25295.853947669926	4.507167075300739e6	0.
-0.00003662790072312889	3.539336650368527e-11	NaN	NaN	NaN	28062.556300599666	5.277044916091923e6	0.
-0.000032828325959318834	3.539336650368527e-11	NaN	NaN	NaN	31533.558461411605	6.303559764095067e6	0.
-0.000044227050250748985	3.539336650368527e-11	NaN	NaN	NaN	23035.23511411856	3.91090321532921e6	0.
-0.00004027549249638654	3.539336650368527e-11	NaN	NaN	NaN	25395.760525024027	4.534206559558066e6	0.
