# Filename	binding_0\b981d37f-4bee-4b04-9a17-d1c343502075.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:50:04
# Dir	1
# field	2.6447790354402183e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	2.6447790354402183e-11	NaN	NaN	NaN	22218.63596664431	3.6967381906962795e6	-3.3805474083809614e-7
-0.00004164333941135815	2.6447790354402183e-11	NaN	NaN	NaN	24391.288729729265	4.256342709086534e6	-1.6833706817884242e-7
-0.0000378437646475481	2.6447790354402183e-11	NaN	NaN	NaN	26931.318372952777	4.944715162263898e6	0.
-0.000034044189883738054	2.6447790354402183e-11	NaN	NaN	NaN	30076.330045456063	5.846276634654288e6	0.
-0.000045442914175168206	2.6447790354402183e-11	NaN	NaN	NaN	22294.922124152297	3.7159201731648315e6	0.
-0.00004149135642080575	2.6447790354402183e-11	NaN	NaN	NaN	24483.507099992676	4.280698102887873e6	-1.3869198450691068e-7
-0.0000376917816569957	2.6447790354402183e-11	NaN	NaN	NaN	27044.18717462541	4.976138419506114e6	0.
-0.00003389220689318565	2.6447790354402183e-11	NaN	NaN	NaN	30217.860574629412	5.8880991720316885e6	-1.9666271459499958e-7
-0.0000452909311846158	2.6447790354402183e-11	NaN	NaN	NaN	22371.740984365348	3.7352706850917414e6	0.
-0.00004133937343025335	2.6447790354402183e-11	NaN	NaN	NaN	24576.43679655545	4.305291074809637e6	0.
-0.0000375397986664433	2.6447790354402183e-11	NaN	NaN	NaN	27158.024922265802	5.007901730286191e6	-1.479714239557532e-7
-0.00003374022390263325	2.6447790354402183e-11	NaN	NaN	NaN	30360.76284670766	5.93043808260257e6	0.
-0.0000451389481940634	2.6447790354402183e-11	NaN	NaN	NaN	22449.09822124256	3.7547920858877525e6	0.
-0.000041187390439700946	2.6447790354402183e-11	NaN	NaN	NaN	24670.086214543993	4.330123679274071e6	0.
-0.0000373878156758909	2.6447790354402183e-11	NaN	NaN	NaN	27272.844393475192	5.040013433567853e6	0.
-0.00003358824091208085	2.6447790354402183e-11	NaN	NaN	NaN	30505.05739518189	5.973297907262387e6	0.
-0.000044986965203511	2.6447790354402183e-11	NaN	NaN	NaN	22526.999590667856	3.7744859840462324e6	0.
-0.00004103540744914855	2.6447790354402183e-11	NaN	NaN	NaN	24764.46388379835	4.355199080049385e6	-6.554377347432296e-7
-0.00003723583268533849	2.6447790354402183e-11	NaN	NaN	NaN	27388.658595825054	5.072474328786376e6	0.
-0.000033436257921528444	2.6447790354402183e-11	NaN	NaN	NaN	30650.765175182783	6.016689801577873e6	0.
-0.000044834982212958595	2.6447790354402183e-11	NaN	NaN	NaN	22605.450931952935	3.794355502613955e6	0.
-0.00004088342445859614	2.6447790354402183e-11	NaN	NaN	NaN	24859.578471626497	4.38052268730895e6	0.
-0.00003708384969478609	2.6447790354402183e-11	NaN	NaN	NaN	27505.480772148418	5.105294159388267e6	0.
-0.000033284274930976045	2.6447790354402183e-11	NaN	NaN	NaN	30797.907574602454	6.060621777835264e6	-1.7951162540369764e-7
-0.000044682999222406196	2.6447790354402183e-11	NaN	NaN	NaN	22684.458169372865	3.814401891276686e6	0.
-0.00004073144146804374	2.6447790354402183e-11	NaN	NaN	NaN	24955.43878562779	4.406095775654247e6	-1.8108477591426512e-7
-0.000036931866704233694	2.6447790354402183e-11	NaN	NaN	NaN	27623.32440598055	5.138475314898501e6	0.
-0.00003313229194042364	2.6447790354402183e-11	NaN	NaN	NaN	30946.506425576747	6.105106196473662e6	-4.296073924422472e-7
-0.00004453101623185379	2.6447790354402183e-11	NaN	NaN	NaN	22764.027313737843	3.8346281888799593e6	0.
-0.00004057945847749134	2.6447790354402183e-11	NaN	NaN	NaN	25052.05377658563	4.431923354950534e6	-1.6604871282637376e-7
-0.00003677988371368129	2.6447790354402183e-11	NaN	NaN	NaN	27742.203227155267	5.172024357687094e6	-2.2692354200525945e-7
-0.00003298030894987124	2.6447790354402183e-11	NaN	NaN	NaN	31096.584016343677	6.1501517441149475e6	-2.409935420969133e-7
-0.00004437903324130139	2.6447790354402183e-11	NaN	NaN	NaN	22844.164463998735	3.855036181943585e6	0.
-0.00004042747548693894	2.6447790354402183e-11	NaN	NaN	NaN	25149.432541435166	4.458012266815367e6	0.
-0.00003662790072312889	2.6447790354402183e-11	NaN	NaN	NaN	27862.13121755911	5.205950033235843e6	0.
-0.000032828325959318834	2.6447790354402183e-11	NaN	NaN	NaN	31248.163103490642	6.195768606356552e6	-5.607372499271225e-7
-0.000044227050250748985	2.6447790354402183e-11	NaN	NaN	NaN	22924.87580889032	3.875628821314647e6	0.
-0.00004027549249638654	2.6447790354402183e-11	NaN	NaN	NaN	25247.584326304797	4.484355706463452e6	0.
-0.00003647591773257648	2.6447790354402183e-11	NaN	NaN	NaN	27983.12261705189	5.240254022478731e6	0.
-0.000032676342968766434	2.6447790354402183e-11	NaN	NaN	NaN	31401.266924607637	6.24196842787607e6	0.
-0.000044075067260196586	2.6447790354402183e-11	NaN	NaN	NaN	23006.167628610732	3.8964069839841304e6	-2.3804746245630961e-7
-0.00004012350950583413	2.6447790354402183e-11	NaN	NaN	NaN	25346.518529635436	4.510966938041175e6	0.
-0.00003632393474202408	2.6447790354402183e-11	NaN	NaN	NaN	28105.19192955702	5.274945311511721e6	0.
-0.000032524359978214035	2.6447790354402183e-11	NaN	NaN	NaN	31555.919211361408	6.288759292542863e6	0.
-0.000043923084269644186	2.6447790354402183e-11	NaN	NaN	NaN	23088.04629654004	3.9173755257812403e6	0.
-0.00003997152651528173	2.6447790354402183e-11	NaN	NaN	NaN	25446.24470537971	4.5378474837393155e6	0.
-0.000036171951751471684	2.6447790354402183e-11	NaN	NaN	NaN	28228.35392932821	5.3100284955160385e6	-4.53615809010681e-7
-0.00003237237698766163	2.6447790354402183e-11	NaN	NaN	NaN	31712.144203007592	6.336158052109829e6	0.
-0.00004377110127909178	2.6447790354402183e-11	NaN	NaN	NaN	23170.51828099823	3.938534209926318e6	-1.5397109260395806e-7
-0.000039819543524729326	2.6447790354402183e-11	NaN	NaN	NaN	25546.772566282903	4.56500097758375e6	0.
-0.00003601996876091928	2.6447790354402183e-11	NaN	NaN	NaN	28352.623667399108	5.345515737914059e6	0.
-0.00003222039399710923	2.6447790354402183e-11	NaN	NaN	NaN	31869.966660358055	6.384163420923422e6	0.
-0.00004361911828853938	2.6447790354402183e-11	NaN	NaN	NaN	23253.590147042552	3.9598874747130945e6	-1.771604778757852e-7
-0.00003966756053417693	2.6447790354402183e-11	NaN	NaN	NaN	25648.11198724919	4.592429498171158e6	-2.053942342534638e-7
-0.00003586798577036688	2.6447790354402183e-11	NaN	NaN	NaN	28478.016478221918	5.3814014906215845e6	0.
-0.000032068411006556824	2.6447790354402183e-11	NaN	NaN	NaN	32029.411880223204	6.432799180518028e6	0.
-0.000043467135297986975	2.6447790354402183e-11	NaN	NaN	NaN	23337.268558308017	3.98143721533094e6	-1.5033958118968186e-7
-0.00003951557754362453	2.6447790354402183e-11	NaN	NaN	NaN	25750.273008794647	4.6201398861535145e6	-2.3618324571393038e-7
-0.00003571600277981447	2.6447790354402183e-11	NaN	NaN	NaN	28604.5479865011	5.417700757112239e6	-1.6355103213401876e-7
