# Filename	binding_0\bca9ad47-de94-4ce6-bf08-5031dd9015d3.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:42:01
# Dir	-1
# field	5.834071401706364e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	5.834071401706364e-11	NaN	NaN	NaN	-21349.083629115914	3.4307720518764732e6	0.
-0.00004164333941135815	5.834071401706364e-11	NaN	NaN	NaN	-23255.761418441794	3.8934166618590974e6	0.
-0.0000378437646475481	5.834071401706364e-11	NaN	NaN	NaN	-25427.67233894553	4.441401624010147e6	0.
-0.000034044189883738054	5.834071401706364e-11	NaN	NaN	NaN	-28027.43191447492	5.124613386691987e6	0.
-0.000045442914175168206	5.834071401706364e-11	NaN	NaN	NaN	-21416.769056869394	3.4468872549076104e6	0.
-0.00004149135642080575	5.834071401706364e-11	NaN	NaN	NaN	-23335.7097842994	3.9132006672414728e6	0.
-0.0000376917816569957	5.834071401706364e-11	NaN	NaN	NaN	-25522.708456061635	4.465865665307112e6	0.
-0.00003389220689318565	5.834071401706364e-11	NaN	NaN	NaN	-28142.034755958608	5.155379160205907e6	0.
-0.0000452909311846158	5.834071401706364e-11	NaN	NaN	NaN	-21484.87374065527	3.463124735577516e6	-2.742354880500121e-7
-0.00004133937343025335	5.834071401706364e-11	NaN	NaN	NaN	-23416.192639448218	3.9331479483509087e6	0.
-0.0000375397986664433	5.834071401706364e-11	NaN	NaN	NaN	-25618.43133889122	4.490547042980982e6	0.
-0.00003374022390263325	5.834071401706364e-11	NaN	NaN	NaN	-28257.536769148297	5.186438902553804e6	-4.5563699124990125e-7
-0.0000451389481940634	5.834071401706364e-11	NaN	NaN	NaN	-21553.401482149788	3.479488124088298e6	0.
-0.000041187390439700946	5.834071401706364e-11	NaN	NaN	NaN	-23497.215188684502	3.9532593231062917e6	0.
-0.0000373878156758909	5.834071401706364e-11	NaN	NaN	NaN	-25714.848170672496	4.5154486581583945e6	0.
-0.00003358824091208085	5.834071401706364e-11	NaN	NaN	NaN	-28373.9480795931	5.217799336352875e6	0.
-0.000044986965203511	5.834071401706364e-11	NaN	NaN	NaN	-21622.356127805215	3.4959766557785715e6	0.
-0.00004103540744914855	5.834071401706364e-11	NaN	NaN	NaN	-23578.782702259297	3.97353748610901e6	0.
-0.00003723583268533849	5.834071401706364e-11	NaN	NaN	NaN	-25811.966230953883	4.540573004390605e6	0.
-0.000033436257921528444	5.834071401706364e-11	NaN	NaN	NaN	-28491.278957513707	5.249461228736426e6	0.
-0.000044834982212958595	5.834071401706364e-11	NaN	NaN	NaN	-21691.741569489765	3.512591732959821e6	-5.097414369405309e-7
-0.00004088342445859614	5.834071401706364e-11	NaN	NaN	NaN	-23660.900516870515	3.993983669398272e6	0.
-0.00003708384969478609	5.834071401706364e-11	NaN	NaN	NaN	-25909.79289713608	4.5659246786602065e6	0.
-0.000033284274930976045	5.834071401706364e-11	NaN	NaN	NaN	-28609.53982023647	5.281430284096728e6	0.
-0.000044682999222406196	5.834071401706364e-11	NaN	NaN	NaN	-21761.561745138548	3.529337039388761e6	0.
-0.00004073144146804374	5.834071401706364e-11	NaN	NaN	NaN	-23743.574036672806	4.0146004007792254e6	0.
-0.000036931866704233694	5.834071401706364e-11	NaN	NaN	NaN	-26008.33564604218	4.591497733856441e6	0.
-0.00003313229194042364	5.834071401706364e-11	NaN	NaN	NaN	-28728.741234673267	5.313710026092008e6	0.
-0.00004453101623185379	5.834071401706364e-11	NaN	NaN	NaN	-21831.82063941554	3.546210273810502e6	0.
