# Filename	binding_0\c3293c68-cabf-4406-a65d-2394fefa60d5.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:46:03
# Dir	1
# field	8.751107102559545e-12
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	8.751107102559545e-12	NaN	NaN	NaN	22025.38835832804	3.636486858560306e6	0.
-0.00004164333941135815	8.751107102559545e-12	NaN	NaN	NaN	24135.861399124486	4.1728275277233995e6	0.
-0.0000378437646475481	8.751107102559545e-12	NaN	NaN	NaN	26587.901907184212	4.826591932583444e6	0.
-0.000034044189883738054	8.751107102559545e-12	NaN	NaN	NaN	29598.787496389625	5.672414984713111e6	0.
-0.000045442914175168206	8.751107102559545e-12	NaN	NaN	NaN	22099.683171744626	3.6549415967989718e6	0.
-0.00004149135642080575	8.751107102559545e-12	NaN	NaN	NaN	24225.182222034397	4.196072636678046e6	0.
-0.0000376917816569957	8.751107102559545e-12	NaN	NaN	NaN	26696.45412331131	4.856273114595113e6	0.
-0.00003389220689318565	8.751107102559545e-12	NaN	NaN	NaN	29733.582526389662	5.711358867204189e6	0.
-0.0000452909311846158	8.751107102559545e-12	NaN	NaN	NaN	22174.483069175745	3.6735535456541143e6	0.
-0.00004133937343025335	8.751107102559545e-12	NaN	NaN	NaN	24315.17006001635	4.219535203174667e6	0.
-0.0000375397986664433	8.751107102559545e-12	NaN	NaN	NaN	26805.90199206887	4.886262235285793e6	0.
-0.00003374022390263325	8.751107102559545e-12	NaN	NaN	NaN	29869.620611265404	5.7507543883274e6	0.
-0.0000451389481940634	8.751107102559545e-12	NaN	NaN	NaN	22249.793241206746	3.6923244396529063e6	0.
-0.000041187390439700946	8.751107102559545e-12	NaN	NaN	NaN	24405.832451703725	4.24321860309934e6	0.
-0.0000373878156758909	8.751107102559545e-12	NaN	NaN	NaN	26916.256714857118	4.916562883085408e6	-1.81617795331877e-7
-0.00003358824091208085	8.751107102559545e-12	NaN	NaN	NaN	30006.919161647198	5.790607353232473e6	-2.3453798020174846e-7
-0.000044986965203511	8.751107102559545e-12	NaN	NaN	NaN	22325.61895009825	3.711256623467006e6	0.
-0.00004103540744914855	8.751107102559545e-12	NaN	NaN	NaN	24497.17705035506	4.267125992034228e6	-6.117669532172254e-7
-0.00003723583268533849	8.751107102559545e-12	NaN	NaN	NaN	27027.529681827866	4.947180595570076e6	0.
-0.000033436257921528444	8.751107102559545e-12	NaN	NaN	NaN	30145.495917394786	5.830927713460935e6	0.
-0.000044834982212958595	8.751107102559545e-12	NaN	NaN	NaN	22401.9655310344	3.730352259530262e6	0.
-0.00004088342445859614	8.751107102559545e-12	NaN	NaN	NaN	24589.211626051234	4.291259036174373e6	-1.393339261397503e-7
-0.00003708384969478609	8.751107102559545e-12	NaN	NaN	NaN	27139.732475904468	4.978118977345929e6	-1.1097321638417289e-7
