# Filename	binding_0\c73cee12-5b3c-4dfb-8fc1-3518bf940f6a.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:30:52
# Dir	-1
# field	1.5557523737883636e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	1.5557523737883636e-11	NaN	NaN	NaN	-21770.55900336229	3.558043989929729e6	-3.5771104982877074e-7
-0.00004164333941135815	1.5557523737883636e-11	NaN	NaN	NaN	-23801.795923776328	4.065264425909702e6	0.
-0.0000378437646475481	1.5557523737883636e-11	NaN	NaN	NaN	-26143.45453070545	4.67654247915964e6	-2.0116709833436107e-7
-0.000034044189883738054	1.5557523737883636e-11	NaN	NaN	NaN	-28989.544431684673	5.455683133502026e6	0.
-0.000045442914175168206	1.5557523737883636e-11	NaN	NaN	NaN	-21842.29908642777	3.5755812700681314e6	0.
-0.00004149135642080575	1.5557523737883636e-11	NaN	NaN	NaN	-23887.45036188488	4.0871315813967236e6	0.
-0.0000376917816569957	1.5557523737883636e-11	NaN	NaN	NaN	-26246.640359950816	4.704109664650253e6	-1.702380094258878e-7
-0.00003389220689318565	1.5557523737883636e-11	NaN	NaN	NaN	-29116.165131532525	5.491233252838587e6	0.
-0.0000452909311846158	1.5557523737883636e-11	NaN	NaN	NaN	-21914.510022023816	3.593261029989622e6	-3.992725088124226e-7
-0.00004133937343025335	1.5557523737883636e-11	NaN	NaN	NaN	-23973.71802479242	4.109193980804337e6	0.
-0.0000375397986664433	1.5557523737883636e-11	NaN	NaN	NaN	-26350.6352075236	4.731946708027275e6	0.
-0.00003374022390263325	1.5557523737883636e-11	NaN	NaN	NaN	-29243.88220597097	5.5271655035218205e6	-1.9051387507401396e-7
-0.0000451389481940634	1.5557523737883636e-11	NaN	NaN	NaN	-21987.196425966435	3.611086579068852e6	0.
-0.000041187390439700946	1.5557523737883636e-11	NaN	NaN	NaN	-24060.605462023737	4.1314537346110665e6	0.
-0.0000373878156758909	1.5557523737883636e-11	NaN	NaN	NaN	-26455.448521431197	4.760055243906248e6	0.
