# Filename	binding_0\c86d1141-6b71-49d7-b8ad-edcf0bf3dd3e.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:37:06
# Dir	-1
# field	3.947721648487973e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	3.947721648487973e-11	NaN	NaN	NaN	-21530.899877865442	3.485301637719675e6	0.
-0.00004164333941135815	3.947721648487973e-11	NaN	NaN	NaN	-23490.349780908273	3.966651399871369e6	0.
-0.0000378437646475481	3.947721648487973e-11	NaN	NaN	NaN	-25733.629292377762	4.54094282501471e6	-2.3542242199541506e-7
-0.000034044189883738054	3.947721648487973e-11	NaN	NaN	NaN	-28435.94209216808	5.26354346244949e6	0.
-0.000045442914175168206	3.947721648487973e-11	NaN	NaN	NaN	-21600.30889088623	3.502016541968711e6	0.
-0.00004149135642080575	3.947721648487973e-11	NaN	NaN	NaN	-23572.707181725786	3.9873061554986928e6	0.
-0.0000376917816569957	3.947721648487973e-11	NaN	NaN	NaN	-25832.07693300305	4.566693052814223e6	0.
-0.00003389220689318565	3.947721648487973e-11	NaN	NaN	NaN	-28555.51961993663	5.296260180706576e6	0.
-0.0000452909311846158	3.947721648487973e-11	NaN	NaN	NaN	-21670.15868652864	3.5188617105319854e6	0.
-0.00004133937343025335	3.947721648487973e-11	NaN	NaN	NaN	-23655.631580531215	4.0081361311633494e6	-4.950837816415618e-7
-0.0000375397986664433	3.947721648487973e-11	NaN	NaN	NaN	-25931.261163824885	4.592676207480543e6	0.
-0.00003374022390263325	3.947721648487973e-11	NaN	NaN	NaN	-28676.07532418039	5.329305166333245e6	0.
-0.0000451389481940634	3.947721648487973e-11	NaN	NaN	NaN	-21740.45339839275	3.5358403833412006e6	0.
-0.000041187390439700946	3.947721648487973e-11	NaN	NaN	NaN	-23739.128722228274	4.029144217807198e6	-3.530782748462922e-7
-0.0000373878156758909	3.947721648487973e-11	NaN	NaN	NaN	-26031.190060851775	4.618902479015171e6	0.
-0.00003358824091208085	3.947721648487973e-11	NaN	NaN	NaN	-28797.620862565174	5.362684660266837e6	0.
-0.000044986965203511	3.947721648487973e-11	NaN	NaN	NaN	-21811.1972109162	3.5529534150529625e6	0.
-0.00004103540744914855	3.947721648487973e-11	NaN	NaN	NaN	-23823.204427771732	4.0503333442659634e6	0.
-0.00003723583268533849	3.947721648487973e-11	NaN	NaN	NaN	-26131.871815219154	4.645372441532518e6	0.
-0.000033436257921528444	3.947721648487973e-11	NaN	NaN	NaN	-28920.168072190605	5.396402872293685e6	0.
-0.000044834982212958595	3.947721648487973e-11	NaN	NaN	NaN	-21882.39436014219	3.5702031789106308e6	0.
-0.00004088342445859614	3.947721648487973e-11	NaN	NaN	NaN	-23907.864595398343	4.0717040071483934e6	0.
-0.00003708384969478609	3.947721648487973e-11	NaN	NaN	NaN	-26233.314735184387	4.67208943029973e6	0.
-0.000033284274930976045	3.947721648487973e-11	NaN	NaN	NaN	-29043.728972919165	5.430464207888447e6	0.
-0.000044682999222406196	3.947721648487973e-11	NaN	NaN	NaN	-21954.049134500274	3.58758893856146e6	0.
-0.00004073144146804374	3.947721648487973e-11	NaN	NaN	NaN	-23993.115201880566	4.093259012939985e6	0.
-0.00003313229194042364	3.947721648487973e-11	NaN	NaN	NaN	-29168.31577077632	5.464873631405415e6	0.
-0.00004453101623185379	3.947721648487973e-11	NaN	NaN	NaN	-22026.165875602335	3.6051143653023657e6	0.
-0.00004057945847749134	3.947721648487973e-11	NaN	NaN	NaN	-24078.962303804656	4.115000660171494e6	0.
-0.000036931866704233694	3.947721648487973e-11	NaN	NaN	NaN	-26335.527248161514	4.699056825069971e6	0.
-0.00003298030894987124	3.947721648487973e-11	NaN	NaN	NaN	-29293.940861422925	5.499635951770972e6	0.
-0.00004437903324130139	3.947721648487973e-11	NaN	NaN	NaN	-22098.748979051292	3.622780107158673e6	0.
-0.00004042747548693894	3.947721648487973e-11	NaN	NaN	NaN	-24165.412038872742	4.1369322720054886e6	0.
-0.00003677988371368129	3.947721648487973e-11	NaN	NaN	NaN	-26438.51790279701	4.726278014028093e6	0.
-0.000032828325959318834	3.947721648487973e-11	NaN	NaN	NaN	-29420.616833702195	5.534756079387308e6	0.
-0.000044227050250748985	3.947721648487973e-11	NaN	NaN	NaN	-22171.802895265453	3.6405872651824434e6	-2.529907120557929e-7
-0.00004027549249638654	3.947721648487973e-11	NaN	NaN	NaN	-24252.470627229577	4.159052544388981e6	0.
-0.00003662790072312889	3.947721648487973e-11	NaN	NaN	NaN	-26542.295371087697	4.753754585248985e6	0.
-0.000032676342968766434	3.947721648487973e-11	NaN	NaN	NaN	-29548.35647326263	5.5702383273968e6	0.
-0.000044075067260196586	3.947721648487973e-11	NaN	NaN	NaN	-22245.332130316783	3.6585392573667536e6	0.
-0.00004012350950583413	3.947721648487973e-11	NaN	NaN	NaN	-24340.144372815572	4.181368689808844e6	0.
-0.00003647591773257648	3.947721648487973e-11	NaN	NaN	NaN	-26646.8684505418	4.781493107643891e6	0.
-0.000032524359978214035	3.947721648487973e-11	NaN	NaN	NaN	-29677.172766259137	5.606089738968603e6	0.
-0.000043923084269644186	3.947721648487973e-11	NaN	NaN	NaN	-22319.341246785185	3.6766354861071776e6	0.
-0.00003997152651528173	3.947721648487973e-11	NaN	NaN	NaN	-24428.439664744208	4.203877446413897e6	0.
-0.00003632393474202408	3.947721648487973e-11	NaN	NaN	NaN	-26752.246066383108	4.809492413435601e6	0.
-0.00003237237698766163	3.947721648487973e-11	NaN	NaN	NaN	-29807.07890313302	5.642311991522369e6	0.
-0.00004377110127909178	3.947721648487973e-11	NaN	NaN	NaN	-22393.834864627144	3.69487836011314e6	0.
-0.000039819543524729326	3.947721648487973e-11	NaN	NaN	NaN	-24517.362978707755	4.2265859985072315e6	0.
-0.000036171951751471684	3.947721648487973e-11	NaN	NaN	NaN	-26858.43727380107	4.83776043233126e6	0.
-0.00003222039399710923	3.947721648487973e-11	NaN	NaN	NaN	-29938.088282474877	5.678913623011582e6	0.
-0.00004361911828853938	3.947721648487973e-11	NaN	NaN	NaN	-22468.817662061017	3.713270008669094e6	0.
-0.00003966756053417693	3.947721648487973e-11	NaN	NaN	NaN	-24606.920878408237	4.24949443522364e6	0.
-0.00003601996876091928	3.947721648487973e-11	NaN	NaN	NaN	-26965.451260245904	4.866295936016413e6	0.
-0.000032068411006556824	3.947721648487973e-11	NaN	NaN	NaN	-30070.21451496963	5.715898661879355e6	0.
-0.000043467135297986975	3.947721648487973e-11	NaN	NaN	NaN	-22544.294376467413	3.731811712677799e6	0.
-0.00003951557754362453	3.947721648487973e-11	NaN	NaN	NaN	-24697.120017017576	4.272605696810987e6	0.
-0.00003586798577036688	3.947721648487973e-11	NaN	NaN	NaN	-27073.29734777153	4.895107360675522e6	0.
-0.000031916428016004425	3.947721648487973e-11	NaN	NaN	NaN	-30203.47142742807	5.753272401992229e6	0.
-0.000043315152307434576	3.947721648487973e-11	NaN	NaN	NaN	-22620.269805306838	3.750505365778898e6	0.
-0.00003936359455307212	3.947721648487973e-11	NaN	NaN	NaN	-24787.9671386651	4.295924608484916e6	0.
-0.00003571600277981447	3.947721648487973e-11	NaN	NaN	NaN	-27181.984995425395	4.92419466046457e6	0.
-0.000031764445025452026	3.947721648487973e-11	NaN	NaN	NaN	-30337.873066905682	5.791045690104201e6	0.
-0.00004316316931688218	3.947721648487973e-11	NaN	NaN	NaN	-22696.748807053475	3.76935357342282e6	0.
-0.00003921161156251972	3.947721648487973e-11	NaN	NaN	NaN	-24879.46907995399	4.319447003575605e6	0.
-0.000035564019789262074	3.947721648487973e-11	NaN	NaN	NaN	-27291.523801688956	4.953563717911589e6	0.
-0.00003161246203489962	3.947721648487973e-11	NaN	NaN	NaN	-30473.433704910476	5.829209942302363e6	0.
-0.00004301118632632977	3.947721648487973e-11	NaN	NaN	NaN	-22773.736302146124	3.7883533821262536e6	0.
-0.00003905962857196732	3.947721648487973e-11	NaN	NaN	NaN	-24971.632771507768	4.343181041468259e6	0.
-0.00003541203679870967	3.947721648487973e-11	NaN	NaN	NaN	-27401.923506966898	4.983217263976743e6	0.
-0.00003146047904434722	3.947721648487973e-11	NaN	NaN	NaN	-30610.16784170376	5.867784232072986e6	0.
-0.00004285920333577737	3.947721648487973e-11	NaN	NaN	NaN	-22851.23727395698	3.807511791911506e6	-1.6621398298298096e-7
-0.00003890764558141492	3.947721648487973e-11	NaN	NaN	NaN	-25064.465239546465	4.367127760866822e6	-3.4394372032342306e-7
