# Filename	binding_0\c877a6c9-432e-406b-b264-a0c77b1cf9bc.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:35:14
# Dir	-1
# field	3.228186175610854e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	3.228186175610854e-11	NaN	NaN	NaN	-21601.889693104382	3.5067460488498686e6	0.
-0.00004164333941135815	3.228186175610854e-11	NaN	NaN	NaN	-23582.33546134299	3.995611167848592e6	0.
-0.0000378437646475481	3.228186175610854e-11	NaN	NaN	NaN	-25854.231975016744	4.580576871544543e6	0.
-0.000034044189883738054	3.228186175610854e-11	NaN	NaN	NaN	-28598.074642936022	5.319350025335451e6	0.
-0.000045442914175168206	3.228186175610854e-11	NaN	NaN	NaN	-21671.982104208357	3.5236999477561098e6	0.
-0.00004149135642080575	3.228186175610854e-11	NaN	NaN	NaN	-23665.65476308474	4.0166171870342987e6	0.
-0.0000376917816569957	3.228186175610854e-11	NaN	NaN	NaN	-25954.05360344701	4.606848385668276e6	0.
-0.00003389220689318565	3.228186175610854e-11	NaN	NaN	NaN	-28719.6782570894	5.352872774711969e6	0.
-0.0000452909311846158	3.228186175610854e-11	NaN	NaN	NaN	-21742.523999143883	3.540788512805145e6	0.
-0.00004133937343025335	3.228186175610854e-11	NaN	NaN	NaN	-23749.55434124368	4.037803693235752e6	-9.141764330022296e-7
-0.0000375397986664433	3.228186175610854e-11	NaN	NaN	NaN	-26054.632436373915	4.633364220835545e6	0.
-0.00003374022390263325	3.228186175610854e-11	NaN	NaN	NaN	-28842.293282640563	5.3867397580080405e6	0.
-0.0000451389481940634	3.228186175610854e-11	NaN	NaN	NaN	-21813.519648839716	3.5580140061458163e6	0.
-0.000041187390439700946	3.228186175610854e-11	NaN	NaN	NaN	-23834.04016748506	4.0591743524393262e6	-2.127140826739846e-7
-0.0000373878156758909	3.228186175610854e-11	NaN	NaN	NaN	-26155.976931437664	4.660132540769886e6	0.
