# Filename	binding_0\cb0786ea-f84b-4ee0-8eb2-8c48a8913f57.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:52:15
# Dir	1
# field	3.617124269057945e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	3.617124269057945e-11	NaN	NaN	NaN	22327.771084257856	3.731060557925166e6	0.
-0.00004164333941135815	3.617124269057945e-11	NaN	NaN	NaN	24536.367850312465	4.304278171099684e6	0.
-0.0000378437646475481	3.617124269057945e-11	NaN	NaN	NaN	27127.82711929705	5.01318001860993e6	0.
-0.000034044189883738054	3.617124269057945e-11	NaN	NaN	NaN	30352.417146943008	5.948426966835382e6	0.
-0.000045442914175168206	3.617124269057945e-11	NaN	NaN	NaN	22405.20295480621	3.7506653114931206e6	0.
-0.00004149135642080575	3.617124269057945e-11	NaN	NaN	NaN	24630.269504191714	4.329287199855985e6	0.
-0.0000376917816569957	3.617124269057945e-11	NaN	NaN	NaN	27243.23524466571	5.0456446560017485e6	0.
-0.00003389220689318565	3.617124269057945e-11	NaN	NaN	NaN	30497.979799776676	5.992010822639969e6	0.
-0.0000452909311846158	3.617124269057945e-11	NaN	NaN	NaN	22483.183793486536	3.7704452527783937e6	0.
-0.00004133937343025335	3.617124269057945e-11	NaN	NaN	NaN	24724.908964509552	4.354544554633043e6	0.
-0.0000375397986664433	3.617124269057945e-11	NaN	NaN	NaN	27359.656955486942	5.0784710011467505e6	0.
-0.00003374022390263325	3.617124269057945e-11	NaN	NaN	NaN	30644.994675640915	6.036148225039939e6	0.
-0.0000451389481940634	3.617124269057945e-11	NaN	NaN	NaN	22561.71956700579	3.790403436880328e6	0.
-0.000041187390439700946	3.617124269057945e-11	NaN	NaN	NaN	24820.295155862113	4.380054420364291e6	0.
-0.0000373878156758909	3.617124269057945e-11	NaN	NaN	NaN	27477.10603007897	5.111664480205948e6	0.
-0.00003358824091208085	3.617124269057945e-11	NaN	NaN	NaN	30793.484365793847	6.080848563650815e6	0.
-0.000044986965203511	3.617124269057945e-11	NaN	NaN	NaN	22640.816330407004	3.810541065329597e6	0.
-0.00004103540744914855	3.617124269057945e-11	NaN	NaN	NaN	24916.437150475056	4.405819934645529e6	0.
-0.00003723583268533849	3.617124269057945e-11	NaN	NaN	NaN	27595.596504186888	5.145231786829628e6	0.
-0.000033436257921528444	3.617124269057945e-11	NaN	NaN	NaN	30943.471947808885	6.126125869059538e6	0.
-0.000044834982212958595	3.617124269057945e-11	NaN	NaN	NaN	22720.480228739187	3.830861456929383e6	0.
-0.00004088342445859614	3.617124269057945e-11	NaN	NaN	NaN	25013.34417133153	4.431844741743472e6	0.
-0.00003708384969478609	3.617124269057945e-11	NaN	NaN	NaN	27715.142677170086	5.179177550133177e6	-2.7182865628193657e-7
-0.000033284274930976045	3.617124269057945e-11	NaN	NaN	NaN	31094.980999123396	6.171983972130071e6	0.
-0.000044682999222406196	3.617124269057945e-11	NaN	NaN	NaN	22800.717498763916	3.851366536301434e6	0.
-0.00004073144146804374	3.617124269057945e-11	NaN	NaN	NaN	25111.02559538122	4.458133158072526e6	0.
-0.000036931866704233694	3.617124269057945e-11	NaN	NaN	NaN	27835.759118373633	5.213510192678506e6	-5.63365461180758e-7
-0.00003313229194042364	3.617124269057945e-11	NaN	NaN	NaN	31248.035611056323	6.2184414586572535e6	0.
-0.00004453101623185379	3.617124269057945e-11	NaN	NaN	NaN	22881.534470702998	3.872058408274055e6	0.
-0.00004057945847749134	3.617124269057945e-11	NaN	NaN	NaN	25209.49095683298	4.484688159870608e6	0.
-0.00003677988371368129	3.617124269057945e-11	NaN	NaN	NaN	27957.4606736896	5.248233922717802e6	-4.454903458374939e-7
-0.00003298030894987124	3.617124269057945e-11	NaN	NaN	NaN	31402.660403311722	6.265503240660699e6	0.
-0.00004437903324130139	3.617124269057945e-11	NaN	NaN	NaN	22962.937570026348	3.892939483380381e6	-5.032995974862939e-7
-0.00004042747548693894	3.617124269057945e-11	NaN	NaN	NaN	25308.749950534704	4.511514291221179e6	0.
-0.00003662790072312889	3.617124269057945e-11	NaN	NaN	NaN	28080.26247231437	5.283357375443478e6	0.
-0.000032828325959318834	3.617124269057945e-11	NaN	NaN	NaN	31558.880538990576	6.313183648281851e6	0.
-0.000044227050250748985	3.617124269057945e-11	NaN	NaN	NaN	23044.933319281325	3.914013755497625e6	0.
-0.00004027549249638654	3.617124269057945e-11	NaN	NaN	NaN	25408.812435441636	4.538615221190438e6	0.
-0.00003647591773257648	3.617124269057945e-11	NaN	NaN	NaN	28204.179933710428	5.318884977185878e6	0.
-0.000032676342968766434	3.617124269057945e-11	NaN	NaN	NaN	31716.72174013112	6.361495912514368e6	0.
-0.000044075067260196586	3.617124269057945e-11	NaN	NaN	NaN	23127.52833996615	3.935281996153071e6	0.
-0.00004012350950583413	3.617124269057945e-11	NaN	NaN	NaN	25509.68843817727	4.5659957631336665e6	0.
-0.00003632393474202408	3.617124269057945e-11	NaN	NaN	NaN	28329.228774778483	5.35482602042364e6	0.
-0.000032524359978214035	3.617124269057945e-11	NaN	NaN	NaN	31876.210303800184	6.410451670741674e6	0.
-0.000043923084269644186	3.617124269057945e-11	NaN	NaN	NaN	23210.729354446445	3.956747268339911e6	0.
-0.00003997152651528173	3.617124269057945e-11	NaN	NaN	NaN	25611.388156688718	4.5936583488429375e6	0.
-0.000036171951751471684	3.617124269057945e-11	NaN	NaN	NaN	28455.42501724848	5.391182930543334e6	0.
-0.00003237237698766163	3.617124269057945e-11	NaN	NaN	NaN	32037.373118759417	6.460060768815854e6	0.
-0.00004377110127909178	3.617124269057945e-11	NaN	NaN	NaN	23294.543187918072	3.9784116504745134e6	-4.928930839165807e-7
-0.000039819543524729326	3.617124269057945e-11	NaN	NaN	NaN	25713.921964000587	4.6216088679242395e6	0.
-0.00003601996876091928	3.617124269057945e-11	NaN	NaN	NaN	28582.78499529786	5.427966942980802e6	0.
-0.00003222039399710923	3.617124269057945e-11	NaN	NaN	NaN	32200.237682731124	6.510339338977791e6	0.
-0.00004361911828853938	3.617124269057945e-11	NaN	NaN	NaN	23378.976770416175	4.0002802123379167e6	0.
-0.00003966756053417693	3.617124269057945e-11	NaN	NaN	NaN	25817.300412069282	4.649850021012876e6	0.
-0.00003586798577036688	3.617124269057945e-11	NaN	NaN	NaN	28711.325363403892	5.465185053262136e6	0.
-0.000032068411006556824	3.617124269057945e-11	NaN	NaN	NaN	32364.832120288676	6.561297929046334e6	0.
-0.000043467135297986975	3.617124269057945e-11	NaN	NaN	NaN	23464.03713887297	4.0223517355839913e6	-2.3375916152053184e-7
-0.00003951557754362453	3.617124269057945e-11	NaN	NaN	NaN	25921.534235742412	4.678388385914088e6	0.
-0.00003571600277981447	3.617124269057945e-11	NaN	NaN	NaN	28841.06310444013	5.502841523834717e6	0.
-0.000031916428016004425	3.617124269057945e-11	NaN	NaN	NaN	32531.18520140024	6.612952396310633e6	0.
-0.000043315152307434576	3.617124269057945e-11	NaN	NaN	NaN	23549.731439224193	4.0446322206679676e6	-2.333207018280852e-7
-0.00003936359455307212	3.617124269057945e-11	NaN	NaN	NaN	26026.634356824863	4.707225967120952e6	0.
-0.000035564019789262074	3.617124269057945e-11	NaN	NaN	NaN	28972.015538025913	5.540945899406708e6	-2.889992123478109e-7
-0.000031764445025452026	3.617124269057945e-11	NaN	NaN	NaN	32699.326360652947	6.665313668043932e6	0.
-0.00004316316931688218	3.617124269057945e-11	NaN	NaN	NaN	23636.066928567147	4.0671240304317637e6	0.
-0.00003921161156251972	3.617124269057945e-11	NaN	NaN	NaN	26132.611888257386	4.736369379926283e6	0.
-0.00003541203679870967	3.617124269057945e-11	NaN	NaN	NaN	29104.200329137177	5.579506920573057e6	-4.3060307863306607e-7
-0.00003161246203489962	3.617124269057945e-11	NaN	NaN	NaN	32869.28571718901	6.718398722028748e6	0.
-0.00004301118632632977	3.617124269057945e-11	NaN	NaN	NaN	23723.050977370905	4.08983050128503e6	0.
-0.00003905962857196732	3.617124269057945e-11	NaN	NaN	NaN	26239.478138408715	4.765821332530299e6	-2.101087065035696e-7
-0.00003526005380815727	3.617124269057945e-11	NaN	NaN	NaN	29237.63549699024	5.61853295611407e6	0.
-0.00003146047904434722	3.617124269057945e-11	NaN	NaN	NaN	33041.09409538396	6.772220266377017e6	0.
-0.00004285920333577737	3.617124269057945e-11	NaN	NaN	NaN	23810.69107173976	4.1127498399448674e6	0.
-0.00003890764558141492	3.617124269057945e-11	NaN	NaN	NaN	26347.244615487005	4.795592761613493e6	0.
-0.00003510807081760487	3.617124269057945e-11	NaN	NaN	NaN	29372.339424207334	5.658028553379305e6	0.
-0.000031308496053794814	3.617124269057945e-11	NaN	NaN	NaN	33214.78304630201	6.826794556321832e6	0.
-0.000042707220345224966	3.617124269057945e-11	NaN	NaN	NaN	23898.994815733287	4.13589048396648e6	0.
