# Filename	binding_0\cdb2e2ef-c637-44f2-9522-4ff4d6b391be.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:47:04
# Dir	1
# field	1.3223895177201092e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	1.3223895177201092e-11	NaN	NaN	NaN	22073.594203295776	3.6514543763415604e6	-1.9411086036874778e-7
-0.00004164333941135815	1.3223895177201092e-11	NaN	NaN	NaN	24199.40561425766	4.193500110563249e6	0.
-0.0000378437646475481	1.3223895177201092e-11	NaN	NaN	NaN	26673.037471185853	4.855696071833481e6	0.
-0.000034044189883738054	1.3223895177201092e-11	NaN	NaN	NaN	29716.604075119467	5.714979343904174e6	-1.3636135814184317e-7
-0.000045442914175168206	1.3223895177201092e-11	NaN	NaN	NaN	22148.381338944022	3.6700879376555444e6	0.
-0.00004149135642080575	1.3223895177201092e-11	NaN	NaN	NaN	24289.439518261053	4.217016367638708e6	-6.998394795518879e-7
-0.0000376917816569957	1.3223895177201092e-11	NaN	NaN	NaN	26782.645694382703	4.885800263728602e6	0.
-0.00003389220689318565	1.3223895177201092e-11	NaN	NaN	NaN	29853.033359158297	5.754615616157387e6	0.
-0.0000452909311846158	1.3223895177201092e-11	NaN	NaN	NaN	22223.680310112475	3.6888812703614603e6	-1.9335448771827753e-7
-0.00004133937343025335	1.3223895177201092e-11	NaN	NaN	NaN	24380.15119388995	4.240755326826717e6	-3.6480260113476654e-7
-0.0000375397986664433	1.3223895177201092e-11	NaN	NaN	NaN	26893.167201366705	4.916220080837168e6	0.
-0.00003374022390263325	1.3223895177201092e-11	NaN	NaN	NaN	29990.736266479726	5.79471735759239e6	0.
-0.0000451389481940634	1.3223895177201092e-11	NaN	NaN	NaN	22299.49642394274	3.7078373375261403e6	0.
-0.000041187390439700946	1.3223895177201092e-11	NaN	NaN	NaN	24471.54838426518	4.2647202299061585e6	0.
-0.0000373878156758909	1.3223895177201092e-11	NaN	NaN	NaN	27004.613565026295	4.9469603759868955e6	0.
-0.00003358824091208085	1.3223895177201092e-11	NaN	NaN	NaN	30129.730930588776	5.835293051782778e6	0.
-0.000044986965203511	1.3223895177201092e-11	NaN	NaN	NaN	22375.83506168547	3.7269567274381975e6	0.
-0.00004103540744914855	1.3223895177201092e-11	NaN	NaN	NaN	24563.638951836143	4.288912329111222e6	-1.1112430030882374e-7
-0.00003723583268533849	1.3223895177201092e-11	NaN	NaN	NaN	27116.996556484875	4.978024594544614e6	0.
-0.000033436257921528444	1.3223895177201092e-11	NaN	NaN	NaN	30270.035834967715	5.876349302070525e6	0.
-0.000044834982212958595	1.3223895177201092e-11	NaN	NaN	NaN	22452.701680005008	3.7462425414713244e6	0.
-0.00004088342445859614	1.3223895177201092e-11	NaN	NaN	NaN	24656.43088070517	4.313336764582106e6	0.
-0.00003708384969478609	1.3223895177201092e-11	NaN	NaN	NaN	27230.328149404148	5.009418982366518e6	0.
-0.000033284274930976045	1.3223895177201092e-11	NaN	NaN	NaN	30411.669821658706	5.917897574352901e6	0.
-0.000044682999222406196	1.3223895177201092e-11	NaN	NaN	NaN	22530.101812314002	3.765695467327172e6	0.
-0.00004073144146804374	1.3223895177201092e-11	NaN	NaN	NaN	24749.93227901005	4.337995501935796e6	0.
-0.000036931866704233694	1.3223895177201092e-11	NaN	NaN	NaN	27344.620524399423	5.041147877125654e6	0.
-0.00003313229194042364	1.3223895177201092e-11	NaN	NaN	NaN	30554.65210010108	5.959940374640944e6	0.
-0.00004453101623185379	1.3223895177201092e-11	NaN	NaN	NaN	22608.041070136966	3.785319083395303e6	0.
-0.00004057945847749134	1.3223895177201092e-11	NaN	NaN	NaN	24844.151381359072	4.362891685731817e6	-6.918920859334284e-7
-0.00003677988371368129	1.3223895177201092e-11	NaN	NaN	NaN	27459.88607357384	5.073216796900686e6	0.
-0.00003298030894987124	1.3223895177201092e-11	NaN	NaN	NaN	30699.002256237414	6.002491432469044e6	0.
-0.00004437903324130139	1.3223895177201092e-11	NaN	NaN	NaN	22686.52514450176	3.80511488728988e6	0.
-0.00004042747548693894	1.3223895177201092e-11	NaN	NaN	NaN	24939.09655132654	4.388029620900692e6	0.
-0.00003662790072312889	1.3223895177201092e-11	NaN	NaN	NaN	27576.137405171692	5.105630457813799e6	0.
-0.000032828325959318834	1.3223895177201092e-11	NaN	NaN	NaN	30844.74026189193	6.045558105040679e6	0.
-0.000044227050250748985	1.3223895177201092e-11	NaN	NaN	NaN	22765.55980736237	3.8250848130832054e6	0.
-0.00004027549249638654	1.3223895177201092e-11	NaN	NaN	NaN	25034.776284008763	4.413411465601099e6	0.
-0.00003647591773257648	1.3223895177201092e-11	NaN	NaN	NaN	27693.38734835807	5.138394543796005e6	0.
-0.000032676342968766434	1.3223895177201092e-11	NaN	NaN	NaN	30991.88648443536	6.089148075937616e6	0.
-0.000044075067260196586	1.3223895177201092e-11	NaN	NaN	NaN	22845.15091305263	3.8452315492266687e6	0.
-0.00004012350950583413	1.3223895177201092e-11	NaN	NaN	NaN	25131.199208639195	4.439041122305139e6	0.
-0.00003632393474202408	1.3223895177201092e-11	NaN	NaN	NaN	27811.64895812535	5.171513706925788e6	0.
-0.000032524359978214035	1.3223895177201092e-11	NaN	NaN	NaN	31140.461696745482	6.133270858579006e6	-2.0534397784709175e-7
-0.000043923084269644186	1.3223895177201092e-11	NaN	NaN	NaN	22925.30439976996	3.8655572120096497e6	0.
-0.00003997152651528173	1.3223895177201092e-11	NaN	NaN	NaN	25228.374091268444	4.464921500188381e6	-1.8715483124073413e-7
-0.000036171951751471684	1.3223895177201092e-11	NaN	NaN	NaN	27930.935520334187	5.204994261454748e6	0.
-0.00003237237698766163	1.3223895177201092e-11	NaN	NaN	NaN	31290.487087471778	6.177937410332511e6	0.
-0.00004377110127909178	1.3223895177201092e-11	NaN	NaN	NaN	23006.02629109344	3.8860634123494374e6	0.
-0.000039819543524729326	1.3223895177201092e-11	NaN	NaN	NaN	25326.30983750831	4.491058333415592e6	0.
-0.00003601996876091928	1.3223895177201092e-11	NaN	NaN	NaN	28051.260556889247	5.238841383927431e6	0.
-0.00003222039399710923	1.3223895177201092e-11	NaN	NaN	NaN	31441.98427162008	6.223155249792448e6	0.
-0.00004361911828853938	1.3223895177201092e-11	NaN	NaN	NaN	23087.32269753439	3.9067527649500696e6	0.
-0.00003966756053417693	1.3223895177201092e-11	NaN	NaN	NaN	25425.015495343956	4.517450707208197e6	0.
-0.00003586798577036688	1.3223895177201092e-11	NaN	NaN	NaN	28172.637831058204	5.273060375108232e6	-1.769712986781977e-7
-0.000032068411006556824	1.3223895177201092e-11	NaN	NaN	NaN	31594.975301463168	6.268935117543524e6	0.
-0.000043467135297986975	1.3223895177201092e-11	NaN	NaN	NaN	23169.19981812106	3.927627904700684e6	0.
-0.00003951557754362453	1.3223895177201092e-11	NaN	NaN	NaN	25524.500258014028	4.544106335356676e6	0.
-0.00003571600277981447	1.3223895177201092e-11	NaN	NaN	NaN	28295.081352934707	5.307659251976639e6	0.
-0.000031916428016004425	1.3223895177201092e-11	NaN	NaN	NaN	31749.482677793607	6.315285810463552e6	-2.8492333221607514e-7
-0.000043315152307434576	1.3223895177201092e-11	NaN	NaN	NaN	23251.66394201814	3.94869054724011e6	-2.8430574668013274e-7
