# Filename	binding_0\d5f6f34f-aff3-415f-b3bd-f99a5dc19ddf.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:31:04
# Dir	-1
# field	1.633539992477782e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	1.633539992477782e-11	NaN	NaN	NaN	-21762.59718800964	3.5556116370806424e6	0.
-0.00004164333941135815	1.633539992477782e-11	NaN	NaN	NaN	-23791.40746444389	4.0619491961483103e6	0.
-0.0000378437646475481	1.633539992477782e-11	NaN	NaN	NaN	-26129.71564116248	4.671954139357949e6	-1.707212877741265e-7
-0.000034044189883738054	1.633539992477782e-11	NaN	NaN	NaN	-28970.861847438555	5.449125262200169e6	0.
-0.000045442914175168206	1.633539992477782e-11	NaN	NaN	NaN	-21834.258728945162	3.5731202928904057e6	-1.2172659561085523e-7
-0.00004149135642080575	1.633539992477782e-11	NaN	NaN	NaN	-23876.950071406478	4.083775489011837e6	0.
-0.0000376917816569957	1.633539992477782e-11	NaN	NaN	NaN	-26232.73941893938	4.69945884885425e6	0.
-0.00003389220689318565	1.633539992477782e-11	NaN	NaN	NaN	-29097.239017087635	5.484576214071334e6	0.
-0.0000452909311846158	1.633539992477782e-11	NaN	NaN	NaN	-21906.39009123272	3.5907726237669e6	0.
-0.00004133937343025335	1.633539992477782e-11	NaN	NaN	NaN	-23963.104302112366	4.1057954406975326e6	0.
-0.0000375397986664433	1.633539992477782e-11	NaN	NaN	NaN	-26336.569675358533	4.727231283043387e6	0.
-0.00003374022390263325	1.633539992477782e-11	NaN	NaN	NaN	-29224.70834895377	5.520408118878831e6	0.
-0.0000451389481940634	1.633539992477782e-11	NaN	NaN	NaN	-21978.995873798605	3.6085689744247855e6	0.
-0.000041187390439700946	1.633539992477782e-11	NaN	NaN	NaN	-24049.876677510427	4.12801165623211e6	-2.2801848864069368e-7
-0.0000373878156758909	1.633539992477782e-11	NaN	NaN	NaN	-26441.21580885497	4.755274010138678e6	-3.662660752051617e-7
-0.00003358824091208085	1.633539992477782e-11	NaN	NaN	NaN	-29353.28386225479	5.556625202881053e6	0.
-0.000044986965203511	1.633539992477782e-11	NaN	NaN	NaN	-22052.08073530269	3.6265119783758144e6	0.
-0.00004103540744914855	1.633539992477782e-11	NaN	NaN	NaN	-24137.273810677092	4.150429433193174e6	0.
-0.00003723583268533849	1.633539992477782e-11	NaN	NaN	NaN	-26546.68736274259	4.783593243255687e6	0.
-0.000033436257921528444	1.633539992477782e-11	NaN	NaN	NaN	-29482.979813661485	5.593239423242381e6	0.
-0.000044834982212958595	1.633539992477782e-11	NaN	NaN	NaN	-22125.649395103286	3.644605182443594e6	0.
-0.00004088342445859614	1.633539992477782e-11	NaN	NaN	NaN	-24225.302408433312	4.173045842454049e6	0.
-0.00003708384969478609	1.633539992477782e-11	NaN	NaN	NaN	-26652.994027982666	4.812191866964303e6	0.
-0.000033284274930976045	1.633539992477782e-11	NaN	NaN	NaN	-29613.810702267576	5.630243503382276e6	0.
-0.000044682999222406196	1.633539992477782e-11	NaN	NaN	NaN	-22199.706634240898	3.662843520879792e6	0.
-0.00004073144146804374	1.633539992477782e-11	NaN	NaN	NaN	-24313.9692729945	4.195867676086531e6	0.
-0.000036931866704233694	1.633539992477782e-11	NaN	NaN	NaN	-26760.145646013538	4.841071824572502e6	0.
-0.00003313229194042364	1.633539992477782e-11	NaN	NaN	NaN	-29745.79127468538	5.66765491555036e6	0.
-0.00004453101623185379	1.633539992477782e-11	NaN	NaN	NaN	-22274.257296441057	3.6812353400131757e6	0.
-0.00004057945847749134	1.633539992477782e-11	NaN	NaN	NaN	-24403.281303655145	4.218896398132005e6	0.
-0.00003677988371368129	1.633539992477782e-11	NaN	NaN	NaN	-26868.15221164711	4.870238397388854e6	0.
-0.00003298030894987124	1.633539992477782e-11	NaN	NaN	NaN	-29878.93653026694	5.70547722279489e6	0.
-0.00004437903324130139	1.633539992477782e-11	NaN	NaN	NaN	-22349.306289136017	3.6997805678460295e6	0.
-0.00004042747548693894	1.633539992477782e-11	NaN	NaN	NaN	-24493.245498509037	4.242134665090124e6	0.
-0.00003662790072312889	1.633539992477782e-11	NaN	NaN	NaN	-26977.02387603046	4.899696139786019e6	0.
-0.000032828325959318834	1.633539992477782e-11	NaN	NaN	NaN	-30013.261726455014	5.743715572645848e6	0.
