# Filename	binding_0\d63fa5e0-33e6-40b9-b963-ae39c46f62ba.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:41:30
# Dir	-1
# field	5.639602354982818e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	5.639602354982818e-11	NaN	NaN	NaN	-21367.547894340467	3.436284713095344e6	0.
-0.00004164333941135815	5.639602354982818e-11	NaN	NaN	NaN	-23279.520203020496	3.900793215990059e6	-5.453058737164436e-7
-0.0000378437646475481	5.639602354982818e-11	NaN	NaN	NaN	-25458.55571526665	4.4513834061055435e6	0.
-0.000034044189883738054	5.639602354982818e-11	NaN	NaN	NaN	-28068.48855188702	5.1384685015603155e6	0.
-0.000045442914175168206	5.639602354982818e-11	NaN	NaN	NaN	-21435.40662607449	3.4524608073426182e6	0.
-0.00004149135642080575	5.639602354982818e-11	NaN	NaN	NaN	-23359.70970685277	3.920663915089245e6	0.
-0.0000376917816569957	5.639602354982818e-11	NaN	NaN	NaN	-25553.93143709528	4.475975212578419e6	0.
-0.00003389220689318565	5.639602354982818e-11	NaN	NaN	NaN	-28183.583084801296	5.169424945283452e6	0.
-0.0000452909311846158	5.639602354982818e-11	NaN	NaN	NaN	-21503.68675130049	3.4687574973577103e6	-6.391137888723839e-7
-0.00004133937343025335	5.639602354982818e-11	NaN	NaN	NaN	-23440.4369061624	3.9406989538582987e6	0.
-0.0000375397986664433	5.639602354982818e-11	NaN	NaN	NaN	-25649.998798052693	4.500785681142368e6	0.
-0.00003374022390263325	5.639602354982818e-11	NaN	NaN	NaN	-28299.58443474953	5.200679963408561e6	0.
-0.0000451389481940634	5.639602354982818e-11	NaN	NaN	NaN	-21572.392104150997	3.4851824343754556e6	0.
-0.000041187390439700946	5.639602354982818e-11	NaN	NaN	NaN	-23521.707058055763	3.9608995552718844e6	0.
-0.0000373878156758909	5.639602354982818e-11	NaN	NaN	NaN	-25746.765066833108	4.525818052981542e6	0.
-0.00003358824091208085	5.639602354982818e-11	NaN	NaN	NaN	-28416.50287172232	5.232237376837187e6	0.
-0.000044986965203511	5.639602354982818e-11	NaN	NaN	NaN	-21641.5265641164	3.5017340905902195e6	0.
-0.00004103540744914855	5.639602354982818e-11	NaN	NaN	NaN	-23603.52548609811	3.9812678291712436e6	0.
-0.00003723583268533849	5.639602354982818e-11	NaN	NaN	NaN	-25844.237610195545	4.551074538924332e6	0.
-0.000033436257921528444	5.639602354982818e-11	NaN	NaN	NaN	-28534.34881355587	5.264099933396324e6	0.
-0.000044834982212958595	5.639602354982818e-11	NaN	NaN	NaN	-21711.094056696886	3.5184125599754574e6	0.
-0.00004088342445859614	5.639602354982818e-11	NaN	NaN	NaN	-23685.897581327845	4.001806514979148e6	0.
-0.00003708384969478609	5.639602354982818e-11	NaN	NaN	NaN	-25942.42389454679	4.576557938490125e6	0.
-0.000033284274930976045	5.639602354982818e-11	NaN	NaN	NaN	-28653.132828445025	5.296273072151901e6	0.
-0.000044682999222406196	5.639602354982818e-11	NaN	NaN	NaN	-21781.09855406589	3.535220686233255e6	0.
-0.00004073144146804374	5.639602354982818e-11	NaN	NaN	NaN	-23768.828803288343	4.0225161444527116e6	0.
-0.000036931866704233694	5.639602354982818e-11	NaN	NaN	NaN	-26041.33148755342	4.602271572979095e6	0.
-0.00003313229194042364	5.639602354982818e-11	NaN	NaN	NaN	-28772.865637503673	5.328760492890038e6	0.
-0.00004453101623185379	5.639602354982818e-11	NaN	NaN	NaN	-21851.544075744223	3.5521595505406493e6	0.
-0.00004057945847749134	5.639602354982818e-11	NaN	NaN	NaN	-23852.324681078797	4.0433994107872457e6	0.
-0.00003677988371368129	5.639602354982818e-11	NaN	NaN	NaN	-26140.968059783034	4.628217293637262e6	0.
-0.00003298030894987124	5.639602354982818e-11	NaN	NaN	NaN	-28893.55811737384	5.3615659098405745e6	0.
-0.00004437903324130139	5.639602354982818e-11	NaN	NaN	NaN	-21922.434689285674	3.5692311455565314e6	0.
-0.00004042747548693894	5.639602354982818e-11	NaN	NaN	NaN	-23936.390814422968	4.0644586706741164e6	0.
-0.00003662790072312889	5.639602354982818e-11	NaN	NaN	NaN	-26241.34138637652	4.654398923987283e6	0.
-0.000032828325959318834	5.639602354982818e-11	NaN	NaN	NaN	-29015.22130288452	5.394693956595081e6	0.
-0.000044227050250748985	5.639602354982818e-11	NaN	NaN	NaN	-21993.774510974024	3.5864351279251175e6	0.
-0.00004027549249638654	5.639602354982818e-11	NaN	NaN	NaN	-24021.032874756726	4.085695440596606e6	0.
-0.00003647591773257648	5.639602354982818e-11	NaN	NaN	NaN	-26342.459348750173	4.680818362139143e6	0.
-0.000032676342968766434	5.639602354982818e-11	NaN	NaN	NaN	-29137.866389760497	5.428148431412728e6	0.
-0.000044075067260196586	5.639602354982818e-11	NaN	NaN	NaN	-22065.567706532092	3.603776212165302e6	0.
-0.00004012350950583413	5.639602354982818e-11	NaN	NaN	NaN	-24106.256606335446	4.1071123466091305e6	0.
-0.00003632393474202408	5.639602354982818e-11	NaN	NaN	NaN	-26444.3299363302	4.707479743348459e6	0.
-0.000032524359978214035	5.639602354982818e-11	NaN	NaN	NaN	-29261.504737383206	5.461934049497454e6	0.
-0.000043923084269644186	5.639602354982818e-11	NaN	NaN	NaN	-22137.8184918423	3.6212496881644633e6	-2.2228849271191946e-7
-0.00003997152651528173	5.639602354982818e-11	NaN	NaN	NaN	-24192.067827360468	4.128709395866974e6	0.
-0.000036171951751471684	5.639602354982818e-11	NaN	NaN	NaN	-26546.961248318377	4.734384459754107e6	0.
-0.00003237237698766163	5.639602354982818e-11	NaN	NaN	NaN	-29386.14787160361	5.49605437001761e6	0.
-0.00004377110127909178	5.639602354982818e-11	NaN	NaN	NaN	-22210.53113367972	3.6388638599898093e6	0.
-0.000039819543524729326	5.639602354982818e-11	NaN	NaN	NaN	-24278.472431126098	4.1504910929410714e6	0.
-0.00003601996876091928	5.639602354982818e-11	NaN	NaN	NaN	-26650.361495491325	4.761536967546688e6	0.
-0.00003222039399710923	5.639602354982818e-11	NaN	NaN	NaN	-29511.80748760914	5.530515481364336e6	0.
