# Filename	binding_0\d89cde41-87ae-4cc7-9e0e-6490bfddd319.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:38:53
# Dir	-1
# field	4.6283633120203816e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	4.6283633120203816e-11	NaN	NaN	NaN	-21464.590665181786	3.465349374249524e6	0.
-0.00004164333941135815	4.6283633120203816e-11	NaN	NaN	NaN	-23404.62892824332	3.9397878827169756e6	0.
-0.0000378437646475481	4.6283633120203816e-11	NaN	NaN	NaN	-25621.563952071498	4.504316970692722e6	0.
-0.000034044189883738054	4.6283633120203816e-11	NaN	NaN	NaN	-28285.853040688165	5.212221632957347e6	0.
-0.000045442914175168206	4.6283633120203816e-11	NaN	NaN	NaN	-21533.366656363363	3.4818420920521393e6	-2.713899143820381e-7
-0.00004149135642080575	4.6283633120203816e-11	NaN	NaN	NaN	-23486.098757133554	3.9601204159901543e6	0.
-0.0000376917816569957	4.6283633120203816e-11	NaN	NaN	NaN	-25718.749789046553	4.529587492806672e6	0.
-0.00003389220689318565	4.6283633120203816e-11	NaN	NaN	NaN	-28403.581394006458	5.244207689277835e6	0.
-0.0000452909311846158	4.6283633120203816e-11	NaN	NaN	NaN	-21602.575454586975	3.4984637758647143e6	-1.895587407024789e-7
-0.00004133937343025335	4.6283633120203816e-11	NaN	NaN	NaN	-23568.123482861916	3.980622648082549e6	-6.230024896318178e-7
-0.0000375397986664433	4.6283633120203816e-11	NaN	NaN	NaN	-25816.653562682783	4.555088161057933e6	0.
-0.00003374022390263325	4.6283633120203816e-11	NaN	NaN	NaN	-28522.258126898603	5.276509995547928e6	0.
-0.0000451389481940634	4.6283633120203816e-11	NaN	NaN	NaN	-21672.221069170315	3.5152158781114146e6	0.
-0.000041187390439700946	4.6283633120203816e-11	NaN	NaN	NaN	-23650.708646770367	4.00129955406005e6	0.
-0.0000373878156758909	4.6283633120203816e-11	NaN	NaN	NaN	-25915.283009812047	4.580821166102782e6	0.
-0.00003358824091208085	4.6283633120203816e-11	NaN	NaN	NaN	-28641.894308963354	5.30913308920623e6	0.
-0.000044986965203511	4.6283633120203816e-11	NaN	NaN	NaN	-21742.307557970747	3.5320984932889584e6	0.
-0.00004103540744914855	4.6283633120203816e-11	NaN	NaN	NaN	-23733.859862199377	4.0221510268498138e6	0.
