# Filename	binding_0\d9af9c31-cb55-42f6-907a-a621159e2979.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:55:21
# Dir	1
# field	4.997854500795118e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	4.997854500795118e-11	NaN	NaN	NaN	22486.53761339633	3.7813762478216393e6	0.
-0.00004164333941135815	4.997854500795118e-11	NaN	NaN	NaN	24748.527732254322	4.375037254594834e6	0.
-0.0000378437646475481	4.997854500795118e-11	NaN	NaN	NaN	27417.170114380584	5.115165140732672e6	0.
-0.000034044189883738054	4.997854500795118e-11	NaN	NaN	NaN	30762.88346052176	6.102559270336155e6	0.
-0.000045442914175168206	4.997854500795118e-11	NaN	NaN	NaN	22565.664047495462	3.8016126892125495e6	0.
-0.00004149135642080575	4.997854500795118e-11	NaN	NaN	NaN	24844.941226451032	4.401032545253992e6	0.
-0.0000376917816569957	4.997854500795118e-11	NaN	NaN	NaN	27536.412064035947	5.149225324377804e6	0.
-0.00003389220689318565	4.997854500795118e-11	NaN	NaN	NaN	30914.635732466075	6.14889567573205e6	0.
-0.0000452909311846158	4.997854500795118e-11	NaN	NaN	NaN	22645.364013287093	3.8220348034216166e6	0.
-0.00004133937343025335	4.997854500795118e-11	NaN	NaN	NaN	24942.1330599895	4.427295325211274e6	0.
-0.0000375397986664433	4.997854500795118e-11	NaN	NaN	NaN	27656.737158309592	5.1836809207663145e6	0.
-0.00003374022390263325	4.997854500795118e-11	NaN	NaN	NaN	31067.968865175786	6.1958513126746025e6	0.
-0.0000451389481940634	4.997854500795118e-11	NaN	NaN	NaN	22725.64393077105	3.842645369912733e6	0.
-0.000041187390439700946	4.997854500795118e-11	NaN	NaN	NaN	25040.112993063096	4.453828784820521e6	0.
-0.0000373878156758909	4.997854500795118e-11	NaN	NaN	NaN	27778.160795132037	5.218536504486849e6	0.
-0.00003358824091208085	4.997854500795118e-11	NaN	NaN	NaN	31222.908902322833	6.243437679465085e6	0.
-0.000044986965203511	4.997854500795118e-11	NaN	NaN	NaN	22806.51031850439	3.863446985514966e6	0.
-0.00004103540744914855	4.997854500795118e-11	NaN	NaN	NaN	25138.890954613238	4.48063761558735e6	0.
-0.00003723583268533849	4.997854500795118e-11	NaN	NaN	NaN	27900.698676291693	5.253801058303449e6	0.
-0.000033436257921528444	4.997854500795118e-11	NaN	NaN	NaN	31379.482488648217	6.291667577808957e6	0.
-0.000044834982212958595	4.997854500795118e-11	NaN	NaN	NaN	22887.969795543926	3.884442079262354e6	0.
-0.00004088342445859614	4.997854500795118e-11	NaN	NaN	NaN	25238.477046092772	4.507723685919483e6	0.
-0.00003708384969478609	4.997854500795118e-11	NaN	NaN	NaN	28024.36681521405	5.289481021249403e6	0.
-0.000033284274930976045	4.997854500795118e-11	NaN	NaN	NaN	31537.716888097682	6.340553855785899e6	0.
