# Filename	binding_0\dff8dd95-ca3a-42f6-973b-21e791940106.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:35:05
# Dir	-1
# field	3.1698454615937907e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	3.1698454615937907e-11	NaN	NaN	NaN	-21607.68644671619	3.5085002894494105e6	-2.851053443445512e-7
-0.00004164333941135815	3.1698454615937907e-11	NaN	NaN	NaN	-23589.856521591977	3.997985771156745e6	0.
-0.0000378437646475481	3.1698454615937907e-11	NaN	NaN	NaN	-25864.108931974082	4.583832158772124e6	0.
-0.000045442914175168206	3.1698454615937907e-11	NaN	NaN	NaN	-21677.83492313727	3.5254738702027663e6	-2.68375400630792e-7
-0.00004149135642080575	3.1698454615937907e-11	NaN	NaN	NaN	-23673.25490813218	4.019019514648229e6	-3.4946147351399347e-7
-0.0000376917816569957	3.1698454615937907e-11	NaN	NaN	NaN	-25964.043829658556	4.610145271205804e6	-1.680543403778634e-7
-0.000034044189883738054	3.1698454615937907e-11	NaN	NaN	NaN	-28611.381136040705	5.323947513824152e6	0.
-0.0000452909311846158	3.1698454615937907e-11	NaN	NaN	NaN	-21748.43360142851	3.5425827092306972e6	-2.847759209602677e-7
-0.00004133937343025335	3.1698454615937907e-11	NaN	NaN	NaN	-23757.234670408616	4.04023662415049e6	0.
-0.0000375397986664433	3.1698454615937907e-11	NaN	NaN	NaN	-26064.73764535509	4.636707116192347e6	0.
-0.00003389220689318565	3.1698454615937907e-11	NaN	NaN	NaN	-28733.152364741094	5.357536204672114e6	-2.5032408057401587e-7
-0.0000451389481940634	3.1698454615937907e-11	NaN	NaN	NaN	-21819.48676393179	3.5598287919530645e6	0.
-0.000041187390439700946	3.1698454615937907e-11	NaN	NaN	NaN	-23841.80179901872	4.0616371525470754e6	0.
-0.0000373878156758909	3.1698454615937907e-11	NaN	NaN	NaN	-26166.19886874604	4.663518192873817e6	-3.3511511323232696e-7
-0.00003374022390263325	3.1698454615937907e-11	NaN	NaN	NaN	-28855.93778191502	5.391472646008742e6	0.
-0.000044986965203511	3.1698454615937907e-11	NaN	NaN	NaN	-21890.998746621237	3.577212454376802e6	-4.6662297618020115e-7
-0.00004103540744914855	3.1698454615937907e-11	NaN	NaN	NaN	-23926.962365594958	4.083224018714828e6	0.
-0.00003723583268533849	3.1698454615937907e-11	NaN	NaN	NaN	-26268.436113713342	4.690586635864189e6	0.
-0.00003358824091208085	3.1698454615937907e-11	NaN	NaN	NaN	-28979.74977227456	5.425757948208976e6	0.
-0.000044834982212958595	3.1698454615937907e-11	NaN	NaN	NaN	-21962.97393993097	3.5947363788748225e6	0.
-0.00004088342445859614	3.1698454615937907e-11	NaN	NaN	NaN	-24012.722524152323	4.104999233449841e6	0.
-0.00003708384969478609	3.1698454615937907e-11	NaN	NaN	NaN	-26371.458120562816	4.717907094331516e6	0.
-0.000033436257921528444	3.1698454615937907e-11	NaN	NaN	NaN	-29104.600917275235	5.460397860793482e6	-2.2143366764107297e-7
-0.000044682999222406196	3.1698454615937907e-11	NaN	NaN	NaN	-22035.416789599258	3.612401358789512e6	0.
-0.00004073144146804374	3.1698454615937907e-11	NaN	NaN	NaN	-24099.088512462065	4.1269647687539505e6	0.
-0.000036931866704233694	3.1698454615937907e-11	NaN	NaN	NaN	-26475.273758294108	4.745489401131222e6	-2.443942218766021e-7
-0.000033284274930976045	3.1698454615937907e-11	NaN	NaN	NaN	-29230.50399891645	5.495399669476872e6	0.
-0.00004453101623185379	3.1698454615937907e-11	NaN	NaN	NaN	-22108.331797526957	3.6302091059811087e6	0.
-0.00004057945847749134	3.1698454615937907e-11	NaN	NaN	NaN	-24186.06665345262	4.149123136466446e6	-3.469887814954442e-7
-0.00003677988371368129	3.1698454615937907e-11	NaN	NaN	NaN	-26579.892026918085	4.77333742530015e6	0.
-0.00003313229194042364	3.1698454615937907e-11	NaN	NaN	NaN	-29357.47200362854	5.530766498144736e6	0.
-0.00004437903324130139	3.1698454615937907e-11	NaN	NaN	NaN	-22181.72352265257	3.648161139056214e6	-4.063365517679458e-7
-0.00004042747548693894	3.1698454615937907e-11	NaN	NaN	NaN	-24273.663356637215	4.171479001242733e6	0.
-0.00003662790072312889	3.1698454615937907e-11	NaN	NaN	NaN	-26685.322059824273	4.801453890508069e6	0.
-0.00003298030894987124	3.1698454615937907e-11	NaN	NaN	NaN	-29485.51812624518	5.566502797489448e6	-2.652382654406633e-7
-0.000044227050250748985	3.1698454615937907e-11	NaN	NaN	NaN	-22255.596581842503	3.666260473970082e6	0.
-0.00004027549249638654	3.1698454615937907e-11	NaN	NaN	NaN	-24361.885119571132	4.1940291366428826e6	-3.898417624116587e-7
-0.00003647591773257648	3.1698454615937907e-11	NaN	NaN	NaN	-26791.573126197014	4.829837508001659e6	0.
-0.000032828325959318834	3.1698454615937907e-11	NaN	NaN	NaN	-29614.655774067116	5.602617590075783e6	0.
-0.000044075067260196586	3.1698454615937907e-11	NaN	NaN	NaN	-22329.955650798962	3.6845067075090874e6	0.
-0.00004012350950583413	3.1698454615937907e-11	NaN	NaN	NaN	-24450.738529336482	4.216782346610504e6	0.
-0.00003632393474202408	3.1698454615937907e-11	NaN	NaN	NaN	-26898.654633483795	4.858495916736019e6	0.
-0.000032676342968766434	3.1698454615937907e-11	NaN	NaN	NaN	-29744.898571017577	5.639110450936567e6	-8.598870082401315e-7
-0.000043923084269644186	3.1698454615937907e-11	NaN	NaN	NaN	-22404.80546498356	3.7029026533779805e6	0.
-0.00003997152651528173	3.1698454615937907e-11	NaN	NaN	NaN	-24540.230264057194	4.239736096015108e6	0.
-0.000036171951751471684	3.1698454615937907e-11	NaN	NaN	NaN	-27006.576129915742	4.887433505197854e6	0.
-0.000032524359978214035	3.1698454615937907e-11	NaN	NaN	NaN	-29876.260361891214	5.675992729232264e6	0.
-0.00004377110127909178	3.1698454615937907e-11	NaN	NaN	NaN	-22480.15082055856	3.7214514558903635e6	0.
-0.000039819543524729326	3.1698454615937907e-11	NaN	NaN	NaN	-24630.367094444082	4.262895751039788e6	0.
-0.00003601996876091928	3.1698454615937907e-11	NaN	NaN	NaN	-27115.347307081644	4.916652643696671e6	0.
-0.00003237237698766163	3.1698454615937907e-11	NaN	NaN	NaN	-30008.755216700752	5.713266986739063e6	0.
-0.00004361911828853938	3.1698454615937907e-11	NaN	NaN	NaN	-22555.996575345525	3.740149741862793e6	0.
-0.00003966756053417693	3.1698454615937907e-11	NaN	NaN	NaN	-24721.15588537022	4.286262919294344e6	0.
-0.00003586798577036688	3.1698454615937907e-11	NaN	NaN	NaN	-27224.978002557466	4.946157947564337e6	0.
-0.00003222039399710923	3.1698454615937907e-11	NaN	NaN	NaN	-30142.39743512175	5.75093846597706e6	0.
-0.000043467135297986975	3.1698454615937907e-11	NaN	NaN	NaN	-22632.347649802054	3.7590047874813513e6	0.
-0.00003951557754362453	3.1698454615937907e-11	NaN	NaN	NaN	-24812.603597478632	4.309840208460086e6	0.
-0.00003571600277981447	3.1698454615937907e-11	NaN	NaN	NaN	-27335.47820259167	4.9759524676217465e6	0.
-0.000032068411006556824	3.1698454615937907e-11	NaN	NaN	NaN	-30277.20155104007	5.789013343766179e6	-2.8422012817758747e-7
-0.000043315152307434576	3.1698454615937907e-11	NaN	NaN	NaN	-22709.20902801637	3.77801489845031e6	0.
-0.00003936359455307212	3.1698454615937907e-11	NaN	NaN	NaN	-24904.717288821714	4.333630082452771e6	0.
-0.000035564019789262074	3.1698454615937907e-11	NaN	NaN	NaN	-27446.858044848857	5.006040837736474e6	0.
-0.000031916428016004425	3.1698454615937907e-11	NaN	NaN	NaN	-30413.182337202506	5.82750046873404e6	0.
-0.00004316316931688218	3.1698454615937907e-11	NaN	NaN	NaN	-22786.58575872101	3.7971839805245423e6	0.
-0.00003921161156251972	3.1698454615937907e-11	NaN	NaN	NaN	-24997.504116533888	4.357635712374864e6	0.
-0.00003541203679870967	3.1698454615937907e-11	NaN	NaN	NaN	-27559.127821212132	5.036423187511048e6	-8.705233844908644e-7
-0.000031764445025452026	3.1698454615937907e-11	NaN	NaN	NaN	-30550.35480997559	5.8664019339732025e6	0.
-0.00004301118632632977	3.1698454615937907e-11	NaN	NaN	NaN	-22864.482956325148	3.8165123205422196e6	0.
-0.00003905962857196732	3.1698454615937907e-11	NaN	NaN	NaN	-25090.971338537736	4.381858886182883e6	0.
-0.00003526005380815727	3.1698454615937907e-11	NaN	NaN	NaN	-27672.297980646155	5.067112147025768e6	0.
-0.00003161246203489962	3.1698454615937907e-11	NaN	NaN	NaN	-30688.734234212858	5.905724869526958e6	0.
-0.00004285920333577737	3.1698454615937907e-11	NaN	NaN	NaN	-22942.90580196699	3.836003209339637e6	0.
-0.00003890764558141492	3.1698454615937907e-11	NaN	NaN	NaN	-25185.12631528517	4.406302340142526e6	-3.402362847983408e-7
-0.00003510807081760487	3.1698454615937907e-11	NaN	NaN	NaN	-27786.379132122293	5.098101211035197e6	0.
-0.00003146047904434722	3.1698454615937907e-11	NaN	NaN	NaN	-30828.336128235653	5.945477567902063e6	0.
-0.000042707220345224966	3.1698454615937907e-11	NaN	NaN	NaN	-23021.85954458521	3.8556571562083135e6	-2.6061134098544575e-7
-0.00003875566259086252	3.1698454615937907e-11	NaN	NaN	NaN	-25279.976511533143	4.430970835842523e6	0.
-0.00003495608782705246	3.1698454615937907e-11	NaN	NaN	NaN	-27901.382047607385	5.129401973938566e6	0.
-0.000031308496053794814	3.1698454615937907e-11	NaN	NaN	NaN	-30969.176268928182	5.98566292745034e6	0.
-0.000042555237354672566	3.1698454615937907e-11	NaN	NaN	NaN	-23101.349502011322	3.875477214064197e6	-1.7771610822945294e-7
-0.00003860367960031011	3.1698454615937907e-11	NaN	NaN	NaN	-25375.529498156524	4.455864763682815e6	0.
-0.000034804104836500064	3.1698454615937907e-11	NaN	NaN	NaN	-28017.317665117374	5.161016303601254e6	0.
-0.000031156513063242415	3.1698454615937907e-11	NaN	NaN	NaN	-31111.270696952513	6.026291713745009e6	0.
-0.00004240325436412017	3.1698454615937907e-11	NaN	NaN	NaN	-23181.381062082794	3.895465427829091e6	0.
-0.00003845169660975771	3.1698454615937907e-11	NaN	NaN	NaN	-25471.79295399695	4.480988059477371e6	0.
-0.00003465212184594766	3.1698454615937907e-11	NaN	NaN	NaN	-28134.197091838072	5.192949762752679e6	0.
-0.00003100453007269001	3.1698454615937907e-11	NaN	NaN	NaN	-31254.63572208315	6.067364521962825e6	-8.39763547106822e-7
-0.00004225127137356776	3.1698454615937907e-11	NaN	NaN	NaN	-23261.959683777328	3.9156223532091076e6	0.
-0.00003829971361920531	3.1698454615937907e-11	NaN	NaN	NaN	-25568.774667750076	4.506343375512998e6	0.
-0.00003450013885539526	3.1698454615937907e-11	NaN	NaN	NaN	-28252.03160731389	5.225205744729539e6	0.
-0.00003085254708213761	3.1698454615937907e-11	NaN	NaN	NaN	-31399.287928667738	6.108895231189034e6	0.
-0.00004209928838301536	3.1698454615937907e-11	NaN	NaN	NaN	-23343.090898368417	3.935951125699427e6	0.
-0.00003814773062865291	3.1698454615937907e-11	NaN	NaN	NaN	-25666.482539891495	4.5319338327321615e6	0.
-0.00003434815586484286	3.1698454615937907e-11	NaN	NaN	NaN	-28370.83266670702	5.257784288426973e6	-4.266998311412964e-7
-0.00003070056409158521	3.1698454615937907e-11	NaN	NaN	NaN	-31545.244181214905	6.150886093941949e6	0.
-0.000041947305392462956	3.1698454615937907e-11	NaN	NaN	NaN	-23424.780310603426	3.9564529102568584e6	0.
-0.00003799574763810051	3.1698454615937907e-11	NaN	NaN	NaN	-25764.92458464213	4.55776291663937e6	0.
-0.000034196172874290454	3.1698454615937907e-11	NaN	NaN	NaN	-28490.61190412814	5.29069736335594e6	-2.2371402920793003e-7
-0.000030548581101032805	3.1698454615937907e-11	NaN	NaN	NaN	-31692.52163011297	6.193344106732196e6	0.
-0.00004179532240191056	3.1698454615937907e-11	NaN	NaN	NaN	-23507.03359990448	3.977130629194872e6	0.
-0.000030396598110480406	3.1698454615937907e-11	NaN	NaN	NaN	-31841.137717483904	6.236276905961853e6	-3.0808319630869363e-7
-0.000030244615119928003	3.1698454615937907e-11	NaN	NaN	NaN	-31991.11018317436	6.27969403330125e6	0.
-0.00002644504035611795	3.1698454615937907e-11	NaN	NaN	NaN	-36240.03358036901	7.546191121026249e6	0.
-0.0000226454655923079	3.1698454615937907e-11	NaN	NaN	NaN	-41722.29984135387	9.276417623684496e6	0.
-0.0000300926321293756	3.1698454615937907e-11	NaN	NaN	NaN	-32142.457070889835	6.323600270687611e6	0.
-0.00002629305736556555	3.1698454615937907e-11	NaN	NaN	NaN	-36432.63883536566	7.605208075951512e6	0.
-0.00001884589082849785	3.1698454615937907e-11	NaN	NaN	NaN	-49020.195885918016	1.1726194042178355e7	0.
-0.0000224934826017555	3.1698454615937907e-11	NaN	NaN	NaN	-41974.46493944206	9.358403582765855e6	0.
-0.000029940649138823198	3.1698454615937907e-11	NaN	NaN	NaN	-32295.196734472363	6.368004174811538e6	0.
-0.000026141074375013146	3.1698454615937907e-11	NaN	NaN	NaN	-36627.21835509302	7.664967493527874e6	0.
-0.00001869390783794545	3.1698454615937907e-11	NaN	NaN	NaN	-49361.754551411024	1.1844528447951203e7	0.
-0.000022341499611203098	3.1698454615937907e-11	NaN	NaN	NaN	-42229.5326096841	9.441538568496099e6	0.
-0.000025989091384460747	3.1698454615937907e-11	NaN	NaN	NaN	-36823.801341409446	7.725481522494904e6	0.
-0.000018541924847393046	3.1698454615937907e-11	NaN	NaN	NaN	-49707.7582328085	1.1964717274919309e7	0.
-0.000022189516620650695	3.1698454615937907e-11	NaN	NaN	NaN	-42487.550378991866	9.525841364378916e6	0.
-0.000029788666148270795	3.1698454615937907e-11	NaN	NaN	NaN	-32449.347844328713	6.412913016003867e6	0.
-0.000025837108393908344	3.1698454615937907e-11	NaN	NaN	NaN	-37022.41754757991	7.786758956239831e6	0.
-0.000018389941856840644	3.1698454615937907e-11	NaN	NaN	NaN	-50058.28735259501	1.208679783001628e7	0.
-0.000022037533630098293	3.1698454615937907e-11	NaN	NaN	NaN	-42748.56674995878	9.611337171600612e6	0.
-0.000029636683157718393	3.1698454615937907e-11	NaN	NaN	NaN	-32604.929394011175	6.458333644658151e6	0.
-0.00001823795886628824	3.1698454615937907e-11	NaN	NaN	NaN	-50413.42410116303	1.2210807986109383e7	0.
-0.00002188555063954589	3.1698454615937907e-11	NaN	NaN	NaN	-43012.63122402463	9.698046357118435e6	0.
-0.000029484700167165993	3.1698454615937907e-11	NaN	NaN	NaN	-32761.96070695583	6.504276235847379e6	0.
-0.000025685125403355942	3.1698454615937907e-11	NaN	NaN	NaN	-37223.097290634505	7.848817710290224e6	0.
