# Filename	binding_0\e48240f0-0b11-464f-8876-33a5176a7032.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:30:34
# Dir	-1
# field	1.4390709457542364e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	1.4390709457542364e-11	NaN	NaN	NaN	-21782.52352631381	3.5617019919958604e6	0.
-0.00004164333941135815	1.4390709457542364e-11	NaN	NaN	NaN	-23817.412547489483	4.0702510118087213e6	0.
-0.0000378437646475481	1.4390709457542364e-11	NaN	NaN	NaN	-26164.11687873293	4.683449023256965e6	0.
-0.000034044189883738054	1.4390709457542364e-11	NaN	NaN	NaN	-29017.65832911104	5.465560977381455e6	-7.51896533776855e-7
-0.000045442914175168206	1.4390709457542364e-11	NaN	NaN	NaN	-21854.381781525262	3.579280760164923e6	0.
-0.00004149135642080575	1.4390709457542364e-11	NaN	NaN	NaN	-23903.23534202299	4.092181069429457e6	0.
-0.0000376917816569957	1.4390709457542364e-11	NaN	NaN	NaN	-26267.546848399503	4.711110794772286e6	-1.3380747432257492e-7
-0.00003389220689318565	1.4390709457542364e-11	NaN	NaN	NaN	-29144.646282166734	5.501263216652167e6	0.
-0.0000452909311846158	1.4390709457542364e-11	NaN	NaN	NaN	-21926.712443123393	3.5970036527233915e6	0.
-0.00004133937343025335	1.4390709457542364e-11	NaN	NaN	NaN	-23989.673776072035	4.114306905265704e6	0.
-0.0000375397986664433	1.4390709457542364e-11	NaN	NaN	NaN	-26371.789670998005	4.739043581984313e6	-4.252896562565704e-7
-0.00003374022390263325	1.4390709457542364e-11	NaN	NaN	NaN	-29272.73697935205	5.537347603129546e6	0.
-0.0000451389481940634	1.4390709457542364e-11	NaN	NaN	NaN	-21999.52015242356	3.6148723046724736e6	0.
-0.000041187390439700946	1.4390709457542364e-11	NaN	NaN	NaN	-24076.734442355882	4.1366313879514877e6	0.
-0.0000373878156758909	1.4390709457542364e-11	NaN	NaN	NaN	-26476.854869582934	4.76725156307184e6	0.
-0.00003358824091208085	1.4390709457542364e-11	NaN	NaN	NaN	-29401.944667984044	5.573824353640129e6	0.
-0.000044986965203511	1.4390709457542364e-11	NaN	NaN	NaN	-22072.80961130776	3.6328881363671003e6	-1.5394051281697772e-7
-0.00004103540744914855	1.4390709457542364e-11	NaN	NaN	NaN	-24164.424027256755	4.1591568262775037e6	0.
-0.00003723583268533849	1.4390709457542364e-11	NaN	NaN	NaN	-26582.752115000563	4.795736503734457e6	0.
-0.000033436257921528444	1.4390709457542364e-11	NaN	NaN	NaN	-29532.283838703475	5.610698861062797e6	0.
-0.000044834982212958595	1.4390709457542364e-11	NaN	NaN	NaN	-22146.585583207583	3.65105357369941e6	0.
-0.00004088342445859614	1.4390709457542364e-11	NaN	NaN	NaN	-24252.749312474778	4.1818856163202575e6	0.
-0.00003708384969478609	1.4390709457542364e-11	NaN	NaN	NaN	-26689.49122873658	4.824503101599963e6	-2.725417422887528e-7
-0.000033284274930976045	1.4390709457542364e-11	NaN	NaN	NaN	-29663.769230620746	5.647976137870863e6	0.
-0.000044682999222406196	1.4390709457542364e-11	NaN	NaN	NaN	-22220.85289410931	3.669369271951768e6	-1.5978174592868684e-7
-0.00004073144146804374	1.4390709457542364e-11	NaN	NaN	NaN	-24341.71717671722	4.204820073813479e6	0.
-0.000036931866704233694	1.4390709457542364e-11	NaN	NaN	NaN	-26797.082185827992	4.85355678875408e6	0.
-0.00003313229194042364	1.4390709457542364e-11	NaN	NaN	NaN	-29796.415836592583	5.685662977378962e6	0.
-0.00004453101623185379	1.4390709457542364e-11	NaN	NaN	NaN	-22295.61643357383	3.6878380843833443e6	0.
-0.00004057945847749134	1.4390709457542364e-11	NaN	NaN	NaN	-24431.334597424033	4.227963504257016e6	0.
-0.00003677988371368129	1.4390709457542364e-11	NaN	NaN	NaN	-26905.535117843785	4.882898667595176e6	-2.535705730804268e-7
