# Filename	binding_0\e4e55ba9-8345-4935-9685-da7aa9d3c4fa.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:28:47
# Dir	-1
# field	7.584292822218273e-12
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	7.584292822218273e-12	NaN	NaN	NaN	-21852.843354250115	3.5832489862496112e6	0.
-0.00004164333941135815	7.584292822218273e-12	NaN	NaN	NaN	-23909.33116057768	4.099684921709605e6	0.
-0.0000378437646475481	7.584292822218273e-12	NaN	NaN	NaN	-26285.958333228144	4.72431001494901e6	0.
-0.000034044189883738054	7.584292822218273e-12	NaN	NaN	NaN	-29183.84851691356	5.524196173758966e6	0.
-0.000045442914175168206	7.584292822218273e-12	NaN	NaN	NaN	-21925.399656863847	3.6010770004434977e6	-1.3277234975672596e-7
-0.00004149135642080575	7.584292822218273e-12	NaN	NaN	NaN	-23996.150870191595	4.1219866520283753e6	0.
-0.0000376917816569957	7.584292822218273e-12	NaN	NaN	NaN	-26390.83841808652	4.752538996536882e6	0.
-0.00003389220689318565	7.584292822218273e-12	NaN	NaN	NaN	-29313.026816649017	5.5607956813142365e6	-1.221991137494018e-7
-0.0000452909311846158	7.584292822218273e-12	NaN	NaN	NaN	-21998.437602885173	3.6190529876058646e6	0.
-0.00004133937343025335	7.584292822218273e-12	NaN	NaN	NaN	-24083.600626619966	4.1444907132898876e6	0.
-0.0000375397986664433	7.584292822218273e-12	NaN	NaN	NaN	-26496.55434107717	4.781048188895534e6	0.
-0.00003374022390263325	7.584292822218273e-12	NaN	NaN	NaN	-29443.34627778657	5.59779921109684e6	0.
-0.0000451389481940634	7.584292822218273e-12	NaN	NaN	NaN	-22071.96198637702	3.637178470369087e6	0.
-0.000041187390439700946	7.584292822218273e-12	NaN	NaN	NaN	-24171.68728267238	4.167199247282156e6	0.
-0.0000373878156758909	7.584292822218273e-12	NaN	NaN	NaN	-26603.11608010867	4.809842104841623e6	0.
-0.00003358824091208085	7.584292822218273e-12	NaN	NaN	NaN	-29574.821988209173	5.635211522642093e6	-1.479144549236223e-7
