# Filename	binding_0\e5230e7b-2f38-4adc-aa84-afb585297c76.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:44:51
# Dir	1
# field	3.500442841023818e-12
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	3.500442841023818e-12	NaN	NaN	NaN	21969.33333839618	3.6191338743768437e6	0.
-0.00004164333941135815	3.500442841023818e-12	NaN	NaN	NaN	24062.112186786726	4.1489200032470496e6	-1.0076237567354213e-7
-0.0000378437646475481	3.500442841023818e-12	NaN	NaN	NaN	26489.336284320914	4.793042034120974e6	0.
-0.000034044189883738054	3.500442841023818e-12	NaN	NaN	NaN	29462.842105062868	5.623565441868357e6	0.
-0.000045442914175168206	3.500442841023818e-12	NaN	NaN	NaN	22043.059319174317	3.6373825547237527e6	0.
-0.00004149135642080575	3.500442841023818e-12	NaN	NaN	NaN	24150.611763451645	4.171853954617337e6	0.
-0.0000376917816569957	3.500442841023818e-12	NaN	NaN	NaN	26596.677327116628	4.822241526272203e6	0.
-0.00003389220689318565	3.500442841023818e-12	NaN	NaN	NaN	29595.773309845452	5.661725760564716e6	0.
-0.0000452909311846158	3.500442841023818e-12	NaN	NaN	NaN	22117.282645699743	3.6557855490426524e6	0.
-0.00004133937343025335	3.500442841023818e-12	NaN	NaN	NaN	24239.766086411975	4.1950005979479365e6	0.
-0.0000375397986664433	3.500442841023818e-12	NaN	NaN	NaN	26704.89403791972	4.851739493495752e6	0.
-0.00003374022390263325	3.500442841023818e-12	NaN	NaN	NaN	29729.913215659923	5.700320994763745e6	0.
-0.0000451389481940634	3.500442841023818e-12	NaN	NaN	NaN	22192.00837625271	3.674344556191094e6	0.
-0.000041187390439700946	3.500442841023818e-12	NaN	NaN	NaN	24329.582463771963	4.218361795504452e6	-2.1430193998416335e-7
-0.0000373878156758909	3.500442841023818e-12	NaN	NaN	NaN	26813.99720299604	4.881540529658069e6	0.
-0.00003358824091208085	3.500442841023818e-12	NaN	NaN	NaN	29865.278435005966	5.739357855142626e6	0.
-0.000044986965203511	3.500442841023818e-12	NaN	NaN	NaN	22267.241638058058	3.693061220431543e6	0.
-0.00004103540744914855	3.500442841023818e-12	NaN	NaN	NaN	24420.06831302769	4.241941660419394e6	0.
