# Filename	binding_0\ec133dde-797b-404d-a961-df792c84c330.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:37:42
# Dir	-1
# field	4.181084504556227e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	4.181084504556227e-11	NaN	NaN	NaN	-21508.0739138393	3.4784251399862277e6	0.
-0.00004164333941135815	4.181084504556227e-11	NaN	NaN	NaN	-23460.819988782354	3.957384130079422e6	0.
-0.0000378437646475481	4.181084504556227e-11	NaN	NaN	NaN	-25694.989164923034	4.528292890974223e6	0.
-0.000034044189883738054	4.181084504556227e-11	NaN	NaN	NaN	-28384.130325382597	5.245789842605499e6	0.
-0.000045442914175168206	4.181084504556227e-11	NaN	NaN	NaN	-21577.264441228035	3.4950629557159804e6	0.
-0.00004149135642080575	4.181084504556227e-11	NaN	NaN	NaN	-23542.8706762488	3.977926119410693e6	-2.7736426987527675e-7
-0.0000376917816569957	4.181084504556227e-11	NaN	NaN	NaN	-25793.00012179793	4.553875289919788e6	0.
-0.00003389220689318565	4.181084504556227e-11	NaN	NaN	NaN	-28503.06665635367	5.278252202482971e6	0.
-0.0000452909311846158	4.181084504556227e-11	NaN	NaN	NaN	-21646.892989349908	3.5118313335290235e6	0.
-0.00004133937343025335	4.181084504556227e-11	NaN	NaN	NaN	-23625.48416359252	3.998643951356651e6	0.
-0.0000375397986664433	4.181084504556227e-11	NaN	NaN	NaN	-25891.74118325628	4.579692066563214e6	0.
-0.00003374022390263325	4.181084504556227e-11	NaN	NaN	NaN	-28622.97077400183	5.311039567209672e6	0.
-0.0000451389481940634	4.181084504556227e-11	NaN	NaN	NaN	-21716.963648593744	3.528732228848902e6	0.
-0.000041187390439700946	4.181084504556227e-11	NaN	NaN	NaN	-23708.666124762614	4.0195371788124237e6	0.
-0.0000373878156758909	4.181084504556227e-11	NaN	NaN	NaN	-25991.220306713123	4.605747192053933e6	0.
-0.00003358824091208085	4.181084504556227e-11	NaN	NaN	NaN	-28743.854129546	5.344157633139711e6	0.
-0.000044986965203511	4.181084504556227e-11	NaN	NaN	NaN	-21787.48055938319	3.5457650485643563e6	0.
-0.00004103540744914855	4.181084504556227e-11	NaN	NaN	NaN	-23792.42230833862	4.040609297727852e6	0.
-0.00003723583268533849	4.181084504556227e-11	NaN	NaN	NaN	-26091.44556215003	4.632043297371286e6	0.
-0.000033436257921528444	4.181084504556227e-11	NaN	NaN	NaN	-28865.728348817018	5.377606339159616e6	0.
-0.000044834982212958595	4.181084504556227e-11	NaN	NaN	NaN	-21858.447912927277	3.5629330856013554e6	0.
-0.00004088342445859614	4.181084504556227e-11	NaN	NaN	NaN	-23876.75853872834	4.0618611279934538e6	0.
-0.00003708384969478609	4.181084504556227e-11	NaN	NaN	NaN	-26192.425134046553	4.65858395107953e6	0.
-0.000033284274930976045	4.181084504556227e-11	NaN	NaN	NaN	-28988.605235458737	5.411396114569047e6	0.
-0.000044682999222406196	4.181084504556227e-11	NaN	NaN	NaN	-21929.869951983994	3.5802376227456373e6	0.
-0.00004073144146804374	4.181084504556227e-11	NaN	NaN	NaN	-23961.68071738881	4.0832962116617193e6	0.
-0.000036931866704233694	4.181084504556227e-11	NaN	NaN	NaN	-26294.16732334977	4.685370494485031e6	-4.5742886303156817e-7
-0.00003313229194042364	4.181084504556227e-11	NaN	NaN	NaN	-29112.496774194984	5.445527307527205e6	0.
-0.00004453101623185379	4.181084504556227e-11	NaN	NaN	NaN	-22001.750971637426	3.597679541940114e6	0.
-0.00004057945847749134	4.181084504556227e-11	NaN	NaN	NaN	-24047.19482406912	4.104915251529622e6	0.
-0.00003677988371368129	4.181084504556227e-11	NaN	NaN	NaN	-26396.68054948332	4.7124097573650805e6	0.
-0.00003298030894987124	4.181084504556227e-11	NaN	NaN	NaN	-29237.41513416662	5.480006290554215e6	0.
-0.00004437903324130139	4.181084504556227e-11	NaN	NaN	NaN	-22074.0953200888	3.615260857687838e6	0.
-0.00004042747548693894	4.181084504556227e-11	NaN	NaN	NaN	-24133.306918077724	4.12672143745416e6	0.
-0.00003662790072312889	4.181084504556227e-11	NaN	NaN	NaN	-26499.973352396577	4.73970240960494e6	0.
-0.000032828325959318834	4.181084504556227e-11	NaN	NaN	NaN	-29363.372672338	5.5148385530985575e6	0.
-0.000044227050250748985	4.181084504556227e-11	NaN	NaN	NaN	-22146.907399461423	3.632984477946065e6	0.
-0.00004027549249638654	4.181084504556227e-11	NaN	NaN	NaN	-24220.02313957283	4.1487166751448563e6	0.
-0.00003647591773257648	4.181084504556227e-11	NaN	NaN	NaN	-26604.05439465441	4.767248394908331e6	0.
-0.000032676342968766434	4.181084504556227e-11	NaN	NaN	NaN	-29490.381936975326	5.550027315719868e6	0.
-0.000044075067260196586	4.181084504556227e-11	NaN	NaN	NaN	-22220.191666619598	3.650847401502873e6	-5.104569499702059e-7
-0.00004012350950583413	4.181084504556227e-11	NaN	NaN	NaN	-24307.349710877756	4.1709052513569747e6	0.
-0.00003632393474202408	4.181084504556227e-11	NaN	NaN	NaN	-26708.932463569497	4.795056454153712e6	0.
-0.000032524359978214035	4.181084504556227e-11	NaN	NaN	NaN	-29618.455671199197	5.585579831913078e6	0.
-0.000043923084269644186	4.181084504556227e-11	NaN	NaN	NaN	-22293.952634002977	3.668856076477154e6	0.
-0.00003997152651528173	4.181084504556227e-11	NaN	NaN	NaN	-24395.292937820777	4.1932839489355637e6	0.
-0.000036171951751471684	4.181084504556227e-11	NaN	NaN	NaN	-26814.61647337685	4.823127915927436e6	0.
-0.00003237237698766163	4.181084504556227e-11	NaN	NaN	NaN	-29747.606816611406	5.621497998087822e6	0.
-0.00004377110127909178	4.181084504556227e-11	NaN	NaN	NaN	-22368.19487047514	3.6870097031676313e6	0.
-0.000039819543524729326	4.181084504556227e-11	NaN	NaN	NaN	-24483.859211101015	4.215859425299539e6	0.
-0.00003601996876091928	4.181084504556227e-11	NaN	NaN	NaN	-26921.11546745259	4.851466252274046e6	0.
-0.00003222039399710923	4.181084504556227e-11	NaN	NaN	NaN	-29877.848516999766	5.657789164721225e6	0.
-0.00004361911828853938	4.181084504556227e-11	NaN	NaN	NaN	-22442.923002187523	3.7053106053877845e6	0.
-0.00003966756053417693	4.181084504556227e-11	NaN	NaN	NaN	-24573.055007679992	4.238633152888792e6	-3.9585053916570546e-7
-0.00003586798577036688	4.181084504556227e-11	NaN	NaN	NaN	-27028.438620577355	4.880075099187671e6	0.
-0.000032068411006556824	4.181084504556227e-11	NaN	NaN	NaN	-30009.194122120967	5.6944584371485775e6	0.
-0.000043467135297986975	4.181084504556227e-11	NaN	NaN	NaN	-22518.141713458866	3.7237601573977564e6	0.
-0.00003951557754362453	4.181084504556227e-11	NaN	NaN	NaN	-24662.886892199414	4.26160916702358e6	0.
-0.00003571600277981447	4.181084504556227e-11	NaN	NaN	NaN	-27136.59524124545	4.908956899221057e6	0.
-0.000031916428016004425	4.181084504556227e-11	NaN	NaN	NaN	-30141.657191564176	5.731511104383627e6	0.
-0.000043315152307434576	4.181084504556227e-11	NaN	NaN	NaN	-22593.85574767068	3.742360317233073e6	0.
-0.00003936359455307212	4.181084504556227e-11	NaN	NaN	NaN	-24753.361518427144	4.284788091946456e6	0.
-0.000035564019789262074	4.181084504556227e-11	NaN	NaN	NaN	-27245.594774021196	4.938116518041307e6	0.
-0.000031764445025452026	4.181084504556227e-11	NaN	NaN	NaN	-30275.251498697242	5.768951491865993e6	0.
-0.00004316316931688218	4.181084504556227e-11	NaN	NaN	NaN	-22670.06990817853	3.7611122896826174e6	0.
-0.00003921161156251972	4.181084504556227e-11	NaN	NaN	NaN	-24844.485630729763	4.30817020125497e6	0.
-0.00003541203679870967	4.181084504556227e-11	NaN	NaN	NaN	-27355.446801942475	4.967556804533165e6	0.
-0.00003161246203489962	4.181084504556227e-11	NaN	NaN	NaN	-30409.99103469729	5.80678647909878e6	0.
-0.00004301118632632977	4.181084504556227e-11	NaN	NaN	NaN	-22746.78905924015	3.780017913436675e6	0.
-0.00003905962857196732	4.181084504556227e-11	NaN	NaN	NaN	-24936.266065574404	4.331761622881902e6	0.
-0.00003526005380815727	4.181084504556227e-11	NaN	NaN	NaN	-27466.161048974	4.997281831675159e6	0.
-0.00003146047904434722	4.181084504556227e-11	NaN	NaN	NaN	-30545.8900126673	5.84502053848298e6	0.
-0.00004285920333577737	4.181084504556227e-11	NaN	NaN	NaN	-22824.01812696029	3.7990787520269845e6	-1.5295828732714148e-7
-0.00003890764558141492	4.181084504556227e-11	NaN	NaN	NaN	-25028.709753058836	4.35556381254918e6	0.
-0.00003510807081760487	4.181084504556227e-11	NaN	NaN	NaN	-27577.747382510144	5.027295418059923e6	0.
-0.000031308496053794814	4.181084504556227e-11	NaN	NaN	NaN	-30682.962871841388	5.8836590703994725e6	0.
-0.000042707220345224966	4.181084504556227e-11	NaN	NaN	NaN	-22901.76210025205	3.8182978749806546e6	0.
-0.00003875566259086252	4.181084504556227e-11	NaN	NaN	NaN	-25121.823718471558	4.37957804793422e6	-3.916688949943965e-7
-0.00003495608782705246	4.181084504556227e-11	NaN	NaN	NaN	-27690.215815929074	5.057601071099877e6	0.
-0.000031156513063242415	4.181084504556227e-11	NaN	NaN	NaN	-30821.224281880302	5.922709154256009e6	0.
-0.000042555237354672566	4.181084504556227e-11	NaN	NaN	NaN	-22980.026031817386	3.8376753568283306e6	0.
-0.00003860367960031011	4.181084504556227e-11	NaN	NaN	NaN	-25215.615083881923	4.403810897807042e6	0.
-0.000034804104836500064	4.181084504556227e-11	NaN	NaN	NaN	-27803.576511199473	5.088202502655666e6	0.
-0.00003100453007269001	4.181084504556227e-11	NaN	NaN	NaN	-30960.68914725939	5.962177604131485e6	0.
-0.00004240325436412017	4.181084504556227e-11	NaN	NaN	NaN	-23058.8150391436	3.857213898058595e6	0.
-0.00003845169660975771	4.181084504556227e-11	NaN	NaN	NaN	-25310.091069761344	4.428258661051715e6	0.
-0.00003465212184594766	4.181084504556227e-11	NaN	NaN	NaN	-27917.839781540686	5.119104179865203e6	0.
-0.00003085254708213761	4.181084504556227e-11	NaN	NaN	NaN	-31101.37261175085	6.002066629798019e6	0.
-0.00004225127137356776	4.181084504556227e-11	NaN	NaN	NaN	-23138.134305519194	3.8769150358454934e6	0.
-0.00003829971361920531	4.181084504556227e-11	NaN	NaN	NaN	-25405.2589966359	4.452928965058999e6	0.
-0.00003450013885539526	4.181084504556227e-11	NaN	NaN	NaN	-28033.016094137445	5.150314016844888e6	0.
-0.00003070056409158521	4.181084504556227e-11	NaN	NaN	NaN	-31243.29006300374	6.042385550996109e6	0.
-0.00004209928838301536	4.181084504556227e-11	NaN	NaN	NaN	-23217.989081068194	3.896780714262567e6	0.
-0.00003814773062865291	4.181084504556227e-11	NaN	NaN	NaN	-25501.126286770977	4.477822527802019e6	0.
-0.00003434815586484286	4.181084504556227e-11	NaN	NaN	NaN	-28149.116072910863	5.18182286585754e6	0.
-0.000030548581101032805	4.181084504556227e-11	NaN	NaN	NaN	-31386.457137221976	6.083139788729658e6	0.
-0.000041947305392462956	4.181084504556227e-11	NaN	NaN	NaN	-23298.384683803353	3.9168131558851236e6	0.
-0.00003799574763810051	4.181084504556227e-11	NaN	NaN	NaN	-25597.700465889517	4.502943147845451e6	0.
-0.000034196172874290454	4.181084504556227e-11	NaN	NaN	NaN	-28266.150501346874	5.213648832562679e6	0.
-0.000030396598110480406	4.181084504556227e-11	NaN	NaN	NaN	-31530.889723944292	6.124335336862345e6	0.
-0.00004179532240191056	4.181084504556227e-11	NaN	NaN	NaN	-23379.326500698753	3.9370150952030155e6	0.
-0.000030244615119928003	4.181084504556227e-11	NaN	NaN	NaN	-31676.603970927954	6.165980092185339e6	0.
-0.00002644504035611795	4.181084504556227e-11	NaN	NaN	NaN	-35789.16728205978	7.374081123141195e6	0.
-0.0000226454655923079	4.181084504556227e-11	NaN	NaN	NaN	-41048.0089741294	9.00343973068851e6	0.
-0.00001884589082849785	4.181084504556227e-11	NaN	NaN	NaN	-47959.09765239466	1.1268645151484426e7	0.
-0.0000300926321293756	4.181084504556227e-11	NaN	NaN	NaN	-31823.616289138088	6.208077467772588e6	0.
-0.00002629305736556555	4.181084504556227e-11	NaN	NaN	NaN	-35974.85118374277	7.430060864748669e6	0.
-0.0000224934826017555	4.181084504556227e-11	NaN	NaN	NaN	-41288.54678560314	9.0800385008509e6	0.
-0.00001869390783794545	4.181084504556227e-11	NaN	NaN	NaN	-48279.94673012659	1.1376834928262366e7	0.
-0.000029940649138823198	4.181084504556227e-11	NaN	NaN	NaN	-31971.943357846525	6.250640433361317e6	0.
-0.000026141074375013146	4.181084504556227e-11	NaN	NaN	NaN	-36162.371482421004	7.486714399358898e6	0.
-0.000022341499611203098	4.181084504556227e-11	NaN	NaN	NaN	-41531.72952563095	9.157654360686217e6	0.
