# Filename	binding_0\f265b6a1-ad52-45a3-9ef1-be08d44be7e7.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:46:42
# Dir	1
# field	1.1668142803412727e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	1.1668142803412727e-11	NaN	NaN	NaN	22056.77897032751	3.6462286969362125e6	-1.335215120415184e-7
-0.00004164333941135815	1.1668142803412727e-11	NaN	NaN	NaN	24177.22715665195	4.186277020761534e6	0.
-0.0000378437646475481	1.1668142803412727e-11	NaN	NaN	NaN	26643.300984134858	4.845516784202429e6	0.
-0.000034044189883738054	1.1668142803412727e-11	NaN	NaN	NaN	29675.41069552508	5.700072673758137e6	-1.4951950067918772e-7
-0.000045442914175168206	1.1668142803412727e-11	NaN	NaN	NaN	22131.39404218785	3.664800116205822e6	0.
-0.00004149135642080575	1.1668142803412727e-11	NaN	NaN	NaN	24267.011599727273	4.209698760686223e6	0.
-0.0000376917816569957	1.1668142803412727e-11	NaN	NaN	NaN	26752.53931594804	4.875472876052978e6	0.
-0.00003389220689318565	1.1668142803412727e-11	NaN	NaN	NaN	29811.266560684995	5.739465741518477e6	0.
-0.0000452909311846158	1.1668142803412727e-11	NaN	NaN	NaN	22206.518584244444	3.6835325057195863e6	0.
-0.00004133937343025335	1.1668142803412727e-11	NaN	NaN	NaN	24357.470040427197	4.233340814432283e6	0.
-0.0000375397986664433	1.1668142803412727e-11	NaN	NaN	NaN	26862.68473385045	4.905741210981968e6	-3.1173748786787054e-7
-0.00003374022390263325	1.1668142803412727e-11	NaN	NaN	NaN	29948.385275853107	5.779319671086558e6	0.
-0.0000451389481940634	1.1668142803412727e-11	NaN	NaN	NaN	22282.157862686105	3.7024207065671086e6	0.
-0.000041187390439700946	1.1668142803412727e-11	NaN	NaN	NaN	24448.610149875454	4.257206924779647e6	0.
-0.0000373878156758909	1.1668142803412727e-11	NaN	NaN	NaN	26973.74867958658	4.936327016910157e6	-3.110871228044287e-7
-0.00003358824091208085	1.1668142803412727e-11	NaN	NaN	NaN	30086.78471841285	5.819640766694983e6	0.
-0.000044986965203511	1.1668142803412727e-11	NaN	NaN	NaN	22358.317216952695	3.7214748996922234e6	0.
-0.00004103540744914855	1.1668142803412727e-11	NaN	NaN	NaN	24540.43971686107	4.281298920990697e6	-2.2164225290210452e-7
-0.00003723583268533849	1.1668142803412727e-11	NaN	NaN	NaN	27085.742789772175	4.96723503772987e6	0.
-0.000033436257921528444	1.1668142803412727e-11	NaN	NaN	NaN	30226.483108328684	5.860438128700571e6	0.
-0.000044834982212958595	1.1668142803412727e-11	NaN	NaN	NaN	22435.002061018866	3.740693500639885e6	0.
