# Filename	binding_0\fa8455c9-3115-4449-9e08-d20b0cfd30fb.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:38:32
# Dir	-1
# field	4.4922349793139e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	4.4922349793139e-11	NaN	NaN	NaN	-21477.787842030037	3.4693145455879075e6	0.
-0.00004164333941135815	4.4922349793139e-11	NaN	NaN	NaN	-23421.67423773209	3.945120463799178e6	0.
-0.0000378437646475481	4.4922349793139e-11	NaN	NaN	NaN	-25643.823157605675	4.511576666277555e6	0.
-0.000034044189883738054	4.4922349793139e-11	NaN	NaN	NaN	-28315.621882245618	5.222375005939884e6	0.
-0.000045442914175168206	4.4922349793139e-11	NaN	NaN	NaN	-21546.689413163447	3.48585136653468e6	0.
-0.00004149135642080575	4.4922349793139e-11	NaN	NaN	NaN	-23503.319884317	3.965516281878367e6	0.
-0.0000376917816569957	4.4922349793139e-11	NaN	NaN	NaN	-25741.258487962128	4.536941488564815e6	0.
-0.00003389220689318565	4.4922349793139e-11	NaN	NaN	NaN	-28433.715003477842	5.254504452138279e6	0.
-0.0000452909311846158	4.4922349793139e-11	NaN	NaN	NaN	-21616.02536711983	3.5025181216239515e6	0.
-0.00004133937343025335	4.4922349793139e-11	NaN	NaN	NaN	-23585.522813336378	3.98608361376416e6	-5.099035570154748e-7
-0.0000375397986664433	4.4922349793139e-11	NaN	NaN	NaN	-25839.415422272148	4.562537361749181e6	0.
-0.00003374022390263325	4.4922349793139e-11	NaN	NaN	NaN	-28552.762341646852	5.286953445790242e6	0.
-0.0000451389481940634	4.4922349793139e-11	NaN	NaN	NaN	-21685.799737650606	3.5193138105145176e6	0.
-0.000041187390439700946	4.4922349793139e-11	NaN	NaN	NaN	-23668.28860602738	4.00682772689276e6	0.
-0.0000373878156758909	4.4922349793139e-11	NaN	NaN	NaN	-25938.30176358565	4.588367522266548e6	0.
-0.00003358824091208085	4.4922349793139e-11	NaN	NaN	NaN	-28672.775080587217	5.319725090307739e6	0.
-0.000044986965203511	4.4922349793139e-11	NaN	NaN	NaN	-21756.01660749625	3.5362432589420024e6	0.
-0.00004103540744914855	4.4922349793139e-11	NaN	NaN	NaN	-23751.622916414257	4.0277437488550087e6	0.
-0.00003723583268533849	4.4922349793139e-11	NaN	NaN	NaN	-26037.925424213856	4.614435199039279e6	0.
-0.000033436257921528444	4.4922349793139e-11	NaN	NaN	NaN	-28793.764572563257	5.352825043691477e6	0.
-0.000044834982212958595	4.4922349793139e-11	NaN	NaN	NaN	-21826.680109113666	3.553303947358239e6	0.
-0.00004088342445859614	4.4922349793139e-11	NaN	NaN	NaN	-23835.53147246435	4.0488390619809045e6	-3.216895962530473e-7
-0.00003708384969478609	4.4922349793139e-11	NaN	NaN	NaN	-26138.29442757954	4.640743360558089e6	0.
-0.000033284274930976045	4.4922349793139e-11	NaN	NaN	NaN	-28915.742341306526	5.3862562566024e6	0.
-0.000044682999222406196	4.4922349793139e-11	NaN	NaN	NaN	-21897.7944254178	3.5705011770444433e6	0.
-0.00004073144146804374	4.4922349793139e-11	NaN	NaN	NaN	-23920.020077264893	4.0701156293282956e6	0.
-0.000036931866704233694	4.4922349793139e-11	NaN	NaN	NaN	-26239.416910103508	4.667294816070531e6	0.
-0.00003313229194042364	4.4922349793139e-11	NaN	NaN	NaN	-29038.720085116416	5.420024153348932e6	0.
-0.00004453101623185379	4.4922349793139e-11	NaN	NaN	NaN	-21969.36379053488	3.5878326412728843e6	0.
-0.00004057945847749134	4.4922349793139e-11	NaN	NaN	NaN	-24005.094610222837	4.091573931114791e6	0.
-0.00003677988371368129	4.4922349793139e-11	NaN	NaN	NaN	-26341.301123128047	4.6940922492981e6	0.
-0.00003298030894987124	4.4922349793139e-11	NaN	NaN	NaN	-29162.70968002401	5.454132820233163e6	0.
-0.00004437903324130139	4.4922349793139e-11	NaN	NaN	NaN	-22041.39249056985	3.605302764917336e6	0.
-0.00004042747548693894	4.4922349793139e-11	NaN	NaN	NaN	-24090.76102828554	4.1132167217763825e6	0.
-0.00003662790072312889	4.4922349793139e-11	NaN	NaN	NaN	-26443.95543487823	4.721139542959054e6	0.
-0.000032828325959318834	4.4922349793139e-11	NaN	NaN	NaN	-29287.723183021448	5.488587468247125e6	0.
-0.000044227050250748985	4.4922349793139e-11	NaN	NaN	NaN	-22113.884864386517	3.6229124174346025e6	0.
-0.00004027549249638654	4.4922349793139e-11	NaN	NaN	NaN	-24177.02536718509	4.135045862209576e6	0.
-0.00003647591773257648	4.4922349793139e-11	NaN	NaN	NaN	-26547.38833246141	4.748439497588933e6	0.
-0.000032676342968766434	4.4922349793139e-11	NaN	NaN	NaN	-29413.77283535777	5.523393125138323e6	0.
-0.000044075067260196586	4.4922349793139e-11	NaN	NaN	NaN	-22186.845304401748	3.6406618109191554e6	-4.98212395580208e-7
-0.00004012350950583413	4.4922349793139e-11	NaN	NaN	NaN	-24263.893742705775	4.1570640835234467e6	0.
-0.00003632393474202408	4.4922349793139e-11	NaN	NaN	NaN	-26651.608423906557	4.775995089592236e6	0.
-0.000032524359978214035	4.4922349793139e-11	NaN	NaN	NaN	-29540.871065902906	5.558552813495003e6	0.
-0.000043923084269644186	4.4922349793139e-11	NaN	NaN	NaN	-22260.278257393773	3.6585536756657376e6	-2.2123942703450495e-7
-0.00003997152651528173	4.4922349793139e-11	NaN	NaN	NaN	-24351.372351974755	4.1792725397298653e6	0.
-0.000036171951751471684	4.4922349793139e-11	NaN	NaN	NaN	-26756.624440243722	4.803810464914569e6	0.
-0.00003237237698766163	4.4922349793139e-11	NaN	NaN	NaN	-29669.030494581773	5.594074937202988e6	0.
-0.00004377110127909178	4.4922349793139e-11	NaN	NaN	NaN	-22334.188225324437	3.676590171795921e6	0.
-0.000039819543524729326	4.4922349793139e-11	NaN	NaN	NaN	-24439.467474777754	4.201675406234912e6	0.
-0.00003601996876091928	4.4922349793139e-11	NaN	NaN	NaN	-26862.44523762445	4.831886883897452e6	0.
-0.00003222039399710923	4.4922349793139e-11	NaN	NaN	NaN	-29798.26393587862	5.629959114450439e6	0.
-0.00004361911828853938	4.4922349793139e-11	NaN	NaN	NaN	-22408.579766176525	3.6947714451784417e6	0.
-0.00003966756053417693	4.4922349793139e-11	NaN	NaN	NaN	-24528.18547489838	4.224273640580707e6	0.
-0.00003586798577036688	4.4922349793139e-11	NaN	NaN	NaN	-26969.079799484723	4.86022974498654e6	0.
-0.000032068411006556824	4.4922349793139e-11	NaN	NaN	NaN	-29928.584402415563	5.66621639665371e6	0.
-0.000043467135297986975	4.4922349793139e-11	NaN	NaN	NaN	-22483.457494805203	3.713099759083762e6	0.
-0.00003951557754362453	4.4922349793139e-11	NaN	NaN	NaN	-24617.532801483725	4.247067808048833e6	0.
-0.00003571600277981447	4.4922349793139e-11	NaN	NaN	NaN	-27076.537238750385	4.888842088691366e6	0.
-0.000031916428016004425	4.4922349793139e-11	NaN	NaN	NaN	-30060.00510860414	5.702845880243804e6	0.
-0.000043315152307434576	4.4922349793139e-11	NaN	NaN	NaN	-22558.82608380523	3.731576724632992e6	0.
-0.00003936359455307212	4.4922349793139e-11	NaN	NaN	NaN	-24707.515990435222	4.270063966353737e6	0.
-0.000035564019789262074	4.4922349793139e-11	NaN	NaN	NaN	-27184.82680008666	4.917726725271569e6	0.
-0.000031764445025452026	4.4922349793139e-11	NaN	NaN	NaN	-30192.539474374404	5.7398575558772525e6	0.
