,Filename,Dir,zi,kind,W,field
0,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.559489716572061e-05,
1,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.559489716572061e-05,
2,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.544291417516821e-05,
3,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.544291417516821e-05,
4,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.529093118461579e-05,
5,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.529093118461579e-05,
6,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.51389481940634e-05,
7,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.51389481940634e-05,
8,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.4986965203511e-05,
9,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.4986965203511e-05,
10,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.48349822129586e-05,
11,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.48349822129586e-05,
12,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.46829992224062e-05,
13,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.46829992224062e-05,
14,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.453101623185379e-05,
15,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.453101623185379e-05,
16,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.437903324130139e-05,
17,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.437903324130139e-05,
18,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.4227050250748985e-05,
19,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.4227050250748985e-05,
20,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.407506726019658e-05,
21,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.407506726019658e-05,
22,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.3923084269644186e-05,
23,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.3923084269644186e-05,
24,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.377110127909178e-05,
