# Filename	C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\Turning Timeresults\2018-02-05T05-28-16.txt
# Source	C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of turning time vs. field and orbit energy.
# Date	2018-02-05T05:28:16
# Dir	-1
# field	9.334514242730183e-12
# zi	-6.
W	field	zt	t	argt
-0.000030396600266570223	9.334514242730183e-12	-32572.600603635314	6.505445649579369e6	0.
-0.000025229178221253285	9.334514242730183e-12	-39071.81822425774	8.532838029755386e6	0.
-0.000030244617265237375	9.334514242730183e-12	-32733.048108061656	6.553333830948321e6	0.
-0.000025077195219920433	9.334514242730183e-12	-39301.90477446692	8.607785602157706e6	0.
-0.000030092634263904523	9.334514242730183e-12	-32895.06823089478	6.601806277067198e6	0.
-0.000024925212218587585	9.334514242730183e-12	-39534.678050788396	8.683818777740406e6	0.
-0.00002994065126257167	9.334514242730183e-12	-33058.68396995761	6.650872811398982e6	-1.3390839016787748e-7
-0.000024773229217254733	9.334514242730183e-12	-39770.18469052409	8.760963136232411e6	0.
-0.00002978866826123882	9.334514242730183e-12	-33223.91876895681	6.700544882281417e6	0.
-0.00002462124621592188	9.334514242730183e-12	-40008.47239996829	8.839237216519712e6	-2.0178276907309578e-7
-0.000029636685259905967	9.334514242730183e-12	-33390.79652822595	6.750832641006387e6	0.
-0.00002446926321458903	9.334514242730183e-12	-40249.589984711805	8.918675549585903e6	0.
-0.00002948470225857312	9.334514242730183e-12	-33559.34161577019	6.801742870141068e6	-1.8855604277384578e-7
-0.00002431728021325618	9.334514242730183e-12	-40493.58738096472	8.999277129208593e6	-6.255978142788286e-7
-0.000029332719257240267	9.334514242730183e-12	-33729.57887863506	6.853291881969967e6	0.
-0.00002416529721192333	9.334514242730183e-12	-40740.51568793619	9.08108927206538e6	-1.2820919061732172e-7
-0.000029180736255907415	9.334514242730183e-12	-33901.53365460253	6.905487543202362e6	0.
-0.000024013314210590477	9.334514242730183e-12	-40990.4272013134	9.1641300232146e6	0.
-0.000029028753254574563	9.334514242730183e-12	-34075.231784226504	6.958342832025742e6	0.
-0.000023861331209257626	9.334514242730183e-12	-41243.37544788474	9.248422146680776e6	-1.3802551382411878e-7
-0.00002887677025324171	9.334514242730183e-12	-34250.69962322037	7.011867314120556e6	0.
-0.000023709348207924774	9.334514242730183e-12	-41499.415221344745	9.334001223572638e6	0.
-0.000028724787251908863	9.334514242730183e-12	-34427.9640552099	7.0660742631428605e6	0.
-0.000023557365206591925	9.334514242730183e-12	-41758.602619338526	9.42087449676907e6	0.
-0.00002857280425057601	9.334514242730183e-12	-34607.05250485979	7.120975715786954e6	0.
-0.000023405382205259074	9.334514242730183e-12	-42020.99508178443	9.50908859370222e6	0.
-0.00002842082124924316	9.334514242730183e-12	-34787.99295138991	7.17658334036829e6	0.
-0.000023253399203926222	9.334514242730183e-12	-42286.65143053036	9.598662523006445e6	0.
-0.000028268838247910308	9.334514242730183e-12	-34970.81394249437	7.232909767864718e6	-1.8883905143785842e-7
-0.00002310141620259337	9.334514242730183e-12	-42555.63191039927	9.68962816773561e6	-1.959778219315463e-7
-0.000028116855246577456	9.334514242730183e-12	-35155.54460867441	7.289970446643997e6	0.
-0.000022949433201260518	9.334514242730183e-12	-42827.99823167281	9.782017582705228e6	0.
-0.000027964872245244608	9.334514242730183e-12	-35342.21467800454	7.347774395217482e6	0.
-0.00002279745019992767	9.334514242730183e-12	-43103.813614079976	9.875859442138791e6	0.
-0.000027812889243911756	9.334514242730183e-12	-35530.85449134173	7.4063383223717185e6	0.
-0.000022645467198594818	9.334514242730183e-12	-43383.14283234233	9.971181443576751e6	0.
