# Filename	C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\Turning Timeresults\2018-02-05T05-34-59.txt
# Source	C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of turning time vs. field and orbit energy.
# Date	2018-02-05T05:34:59
# Dir	-1
# field	3.2865268896279184e-11
# zi	-6.
W	field	zt	t	argt
-0.000030396600266570223	3.2865268896279184e-11	-31804.72302975714	6.223071493656096e6	0.
-0.000025229178221253285	3.2865268896279184e-11	-37777.5503790889	8.016205777638102e6	0.
-0.000030244617265237375	3.2865268896279184e-11	-31954.190149014932	6.266276226650707e6	0.
-0.000025077195219920433	3.2865268896279184e-11	-37985.825063450335	8.081079636050108e6	0.
-0.000030092634263904523	3.2865268896279184e-11	-32105.022502963013	6.3099657035140125e6	0.
-0.000024925212218587585	3.2865268896279184e-11	-38196.30333341805	8.146793079589536e6	0.
-0.00002994065126257167	3.2865268896279184e-11	-32257.238240522358	6.354149159377064e6	0.
-0.000024773229217254733	3.2865268896279184e-11	-38409.01864448556	8.213359861555031e6	0.
-0.00002978866826123882	3.2865268896279184e-11	-32410.855821803194	6.398833737462996e6	0.
-0.00002462124621592188	3.2865268896279184e-11	-38624.005096127126	8.280794751818797e6	0.
-0.000029636685259905967	3.2865268896279184e-11	-32565.894024525467	6.444024493388598e6	0.
-0.00002446926321458903	3.2865268896279184e-11	-38841.29744637157	8.349110639669631e6	0.
-0.00002948470225857312	3.2865268896279184e-11	-32722.37195059069	6.489732473566557e6	0.
-0.00002431728021325618	3.2865268896279184e-11	-39060.93112674089	8.418325238719923e6	0.
-0.000029332719257240267	3.2865268896279184e-11	-32880.30903280897	6.535964404438937e6	0.
-0.00002416529721192333	3.2865268896279184e-11	-39282.94225756324	8.488455427622538e6	0.
-0.000029180736255907415	3.2865268896279184e-11	-33039.72504178635	6.582728064239541e6	0.
-0.000024013314210590477	3.2865268896279184e-11	-39507.367663669196	8.559515665428651e6	0.
-0.000029028753254574563	3.2865268896279184e-11	-33200.64009297605	6.630031639301399e6	-3.177804384745865e-7
-0.000023861331209257626	3.2865268896279184e-11	-39734.24489048225	8.631522711774396e6	0.
-0.00002887677025324171	3.2865268896279184e-11	-33363.07465389692	6.677886452488038e6	0.
-0.000023709348207924774	3.2865268896279184e-11	-39963.61222051263	8.704493409296824e6	0.
-0.000028724787251908863	3.2865268896279184e-11	-33527.04955152605	6.726297055850109e6	0.
-0.000023557365206591925	3.2865268896279184e-11	-40195.50869026511	8.778444671953885e6	0.
-0.00002857280425057601	3.2865268896279184e-11	-33692.58597986684	6.775274396426817e6	0.
-0.000023405382205259074	3.2865268896279184e-11	-40429.974107571434	8.853394341519566e6	0.
-0.00002842082124924316	3.2865268896279184e-11	-33859.70550769954	6.82482749639201e6	0.
-0.000023253399203926222	3.2865268896279184e-11	-40667.049069357745	8.929360191091409e6	0.
-0.000028268838247910308	3.2865268896279184e-11	-34028.43008651802	6.874964170459843e6	0.
-0.00002310141620259337	3.2865268896279184e-11	-40906.77497985835	9.006360767066348e6	0.
-0.000028116855246577456	3.2865268896279184e-11	-34198.782058657824	6.9256933113987995e6	0.
-0.000022949433201260518	3.2865268896279184e-11	-41149.194069286685	9.084413531081032e6	0.
-0.000027964872245244608	3.2865268896279184e-11	-34370.784165620615	6.977027087219787e6	0.
-0.00002279745019992767	3.2865268896279184e-11	-41394.3494129752	9.163539193238672e6	0.
-0.000027812889243911756	3.2865268896279184e-11	-34544.45955659965	7.028973290225116e6	0.
-0.000022645467198594818	3.2865268896279184e-11	-41642.28495099535	9.24375569618738e6	0.
-0.000027660906242578904	3.2865268896279184e-11	-34719.83179721252	7.08154227200879e6	0.
-0.000022493484197261966	3.2865268896279184e-11	-41893.04550827014	9.325084751959644e6	0.
-0.000027508923241246052	3.2865268896279184e-11	-34896.92487844568	7.1347446541677015e6	0.
-0.000022341501195929114	3.2865268896279184e-11	-42146.67681519057	9.407545232043201e6	0.
-0.0000273569402399132	3.2865268896279184e-11	-35075.76322581656	7.188589143075418e6	0.
-0.000022189518194596263	3.2865268896279184e-11	-42403.225528749055	9.49115740269298e6	0.
-0.000027204957238580352	3.2865268896279184e-11	-35256.371708759674	7.24308956379698e6	0.
-0.000022037535193263414	3.2865268896279184e-11	-42662.739254201704	9.57594411559466e6	0.
-0.0000270529742372475	3.2865268896279184e-11	-35438.77565024107	7.298250314142313e6	0.
-0.000021885552191930562	3.2865268896279184e-11	-42925.26656727235	9.661926572788825e6	0.
-0.000026900991235914648	3.2865268896279184e-11	-35623.00083660921	7.354089169743704e6	0.
-0.00002173356919059771	3.2865268896279184e-11	-43190.857036911395	9.749127056746216e6	0.
-0.000026749008234581796	3.2865268896279184e-11	-35809.07352768611	7.410612034594338e6	0.
-0.00002158158618926486	3.2865268896279184e-11	-43459.56124862234	9.837568415073687e6	0.
-0.000026597025233248945	3.2865268896279184e-11	-35997.02046710748	7.467835970406173e6	0.
-0.000021429603187932007	3.2865268896279184e-11	-43731.43082836939	9.927272712027622e6	0.
-0.000026445042231916096	3.2865268896279184e-11	-36186.868892916034	7.525763859212757e6	0.
-0.00002127762018659916	3.2865268896279184e-11	-44006.518467079906	1.0018265363932315e7	0.
