,E0,Ep,Filename,a,a_sigma,dL,th_LRL,x0,x0_sigma,y0,y0_sigma
10400,-3.0396598110480402e-06,0.0,results\2018-01-30T16-52-16.txt,0.07638930154528444,3.6250498737479863e-35,-1.0,0.0,0.2599789699807812,6.212248966861716e-33,0.265,1.8125249242878113e-35
10600,-3.0396598110480402e-06,0.0,results\2018-01-30T16-52-16.txt,0.07638930154528446,3.472539660787296e-35,-1.0,3.1415926535897927,3.4015716235705744,5.9508934169452005e-33,0.265,1.7362698303855834e-35
10800,-3.0396598110480402e-06,0.0,results\2018-01-30T16-52-16.txt,0.07638930154528444,3.6250498737479863e-35,1.0,0.0,0.2599789699807812,6.212248966861716e-33,0.265,1.8125249242878113e-35
11000,-3.0396598110480402e-06,0.0,results\2018-01-30T16-52-16.txt,0.07638930154528446,3.472539660787296e-35,1.0,3.1415926535897927,3.4015716235705744,5.9508934169452005e-33,0.265,1.7362698303855834e-35
11200,-3.0396598110480402e-06,1.4001771364095271e-12,results\2018-01-30T20-04-30.txt,0.04825400551046037,4.786473508339479e-35,-1.0,0.0,0.6384001043739366,2.055648872773823e-32,0.4770833333333333,2.393236808983596e-35
11400,-3.0396598110480402e-06,1.4001771364095271e-12,results\2018-01-30T20-04-30.txt,0.0842014144435903,2.4137670313995554e-35,-1.0,3.1415926535897927,3.8424389880752146,3.404525472556564e-33,0.1825,1.2068835218036493e-35
11600,-3.0396598110480402e-06,1.4001771364095271e-12,results\2018-01-30T20-04-30.txt,0.04825400551046037,4.786473508339479e-35,1.0,0.0,0.6384001043739366,2.055648872773823e-32,0.4770833333333333,2.393236808983596e-35
11800,-3.0396598110480402e-06,1.4001771364095271e-12,results\2018-01-30T20-04-30.txt,0.0842014144435903,2.4137670313995554e-35,1.0,3.1415926535897927,3.8424389880752146,3.404525472556564e-33,0.1825,1.2068835218036493e-35
12000,-3.0396598110480402e-06,2.8003542728190542e-12,results\2018-01-30T23-37-11.txt,0.06300123707299289,1.4828683428768391e-34,-1.0,0.0,3.5919790308707604,3.7359788244796697e-32,0.5925,7.41434144138213e-35
12200,-3.0396598110480402e-06,2.8003542728190542e-12,results\2018-01-30T23-37-11.txt,0.05417086712253636,1.2357235886126553e-35,-1.0,3.1415926535897927,4.037000201013866,4.211043785667695e-33,0.12,6.178617884048851e-36
12400,-3.0396598110480402e-06,2.8003542728190542e-12,results\2018-01-30T23-37-11.txt,0.06300123707299289,1.4828683428768391e-34,1.0,0.0,3.5919790308707604,3.7359788244796697e-32,0.5925,7.41434144138213e-35
12600,-3.0396598110480402e-06,2.8003542728190542e-12,results\2018-01-30T23-37-11.txt,0.05417086712253636,1.2357235886126553e-35,1.0,3.1415926535897927,4.037000201013866,4.211043785667695e-33,0.12,6.178617884048851e-36
12800,-3.0396598110480402e-06,4.2005314092285815e-12,results\2018-01-31T03-05-13.txt,0.05253820206595613,8.571854681252984e-35,-1.0,0.0,0.35588260174419645,3.1054490941363516e-32,0.5025,4.2859273890107643e-35
13000,-3.0396598110480402e-06,4.2005314092285815e-12,results\2018-01-31T03-05-13.txt,0.047237737164541965,7.26012045943244e-36,-1.0,3.1415926535897927,3.99015134738342,3.2536111063538354e-33,0.0775,3.6300602439811085e-36
13200,-3.0396598110480402e-06,4.2005314092285815e-12,results\2018-01-31T03-05-13.txt,0.05253820206595613,8.571854681252984e-35,1.0,0.0,0.35588260174419645,3.1054490941363516e-32,0.5025,4.2859273890107643e-35
13400,-3.0396598110480402e-06,4.2005314092285815e-12,results\2018-01-31T03-05-13.txt,0.047237737164541965,7.26012045943244e-36,1.0,3.1415926535897927,3.99015134738342,3.2536111063538354e-33,0.0775,3.6300602439811085e-36
13600,-3.0396598110480402e-06,5.6007085456381085e-12,results\2018-01-31T06-24-51.txt,0.025018175151446963,8.540570791419057e-35,-1.0,0.0,0.6032487885847821,1.364506736796707e-31,0.5220833333333333,4.270285257818665e-35
13800,-3.0396598110480402e-06,5.6007085456381085e-12,results\2018-01-31T06-24-51.txt,0.04772784647941351,7.304724764359506e-36,-1.0,3.1415926535897927,3.563430647119551,3.206713650709315e-33,0.07333333333333332,3.652362392958796e-36
14000,-3.0396598110480402e-06,5.6007085456381085e-12,results\2018-01-31T06-24-51.txt,0.025018175151446963,8.540570791419057e-35,1.0,0.0,0.6032487885847821,1.364506736796707e-31,0.5220833333333333,4.270285257818665e-35
14200,-3.0396598110480402e-06,5.6007085456381085e-12,results\2018-01-31T06-24-51.txt,0.04772784647941351,7.304724764359506e-36,1.0,3.1415926535897927,3.563430647119551,3.206713650709315e-33,0.07333333333333332,3.652362392958796e-36
14400,-3.0396598110480402e-06,7.0008856820476346e-12,results\2018-01-31T09-49-48.txt,0.016739418001292455,3.691528742227821e-35,-1.0,0.0,0.3309402704296412,1.3174239858239537e-31,0.4916666666666666,1.845764329326994e-35
14600,-3.0396598110480402e-06,7.0008856820476346e-12,results\2018-01-31T09-49-48.txt,0.033489656005853866,3.911128638588221e-36,-1.0,3.1415926535897927,3.540313884393657,3.487231176984745e-33,0.05,1.9555643494666327e-36
