,E0,Ep,Filename,a,a_sigma,dL,th_LRL,x0,x0_sigma,y0,y0_sigma
0,-3.0396598110480402e-06,0.0,C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\results\2018-01-30T16-52-16.txt,0.07638930154528444,3.6250498737479847e-35,-1.0,0.0,0.2599789699807812,6.212248966861716e-33,0.265,1.8125249242878113e-35
1,-3.0396598110480402e-06,0.0,C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\results\2018-01-30T16-52-16.txt,-0.07638930154528446,3.472539660787296e-35,-1.0,3.1415926535897927,0.2599789699807811,5.9508934169452005e-33,0.265,1.7362698303855834e-35
2,-3.0396598110480402e-06,0.0,C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\results\2018-01-30T16-52-16.txt,0.07638930154528444,3.6250498737479847e-35,1.0,0.0,0.2599789699807812,6.212248966861716e-33,0.265,1.8125249242878113e-35
3,-3.0396598110480402e-06,0.0,C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\results\2018-01-30T16-52-16.txt,-0.07638930154528446,3.472539660787296e-35,1.0,3.1415926535897927,0.2599789699807811,5.9508934169452005e-33,0.265,1.7362698303855834e-35
4,-3.0396598110480402e-06,1.4001771364095271e-12,C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\results\2018-01-30T20-04-30.txt,0.04825400551046037,4.786473508339479e-35,-1.0,0.0,0.6384001043739366,2.055648872773823e-32,0.4770833333333333,2.393236808983596e-35
5,-3.0396598110480402e-06,1.4001771364095271e-12,C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\results\2018-01-30T20-04-30.txt,-0.0842014144435903,2.4137670313995554e-35,-1.0,3.1415926535897927,0.7008463344854217,3.404525472556564e-33,0.1825,1.2068835218036493e-35
6,-3.0396598110480402e-06,1.4001771364095271e-12,C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\results\2018-01-30T20-04-30.txt,0.04825400551046037,4.786473508339479e-35,1.0,0.0,0.6384001043739366,2.055648872773823e-32,0.4770833333333333,2.393236808983596e-35
7,-3.0396598110480402e-06,1.4001771364095271e-12,C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\results\2018-01-30T20-04-30.txt,-0.0842014144435903,2.4137670313995554e-35,1.0,3.1415926535897927,0.7008463344854217,3.404525472556564e-33,0.1825,1.2068835218036493e-35
8,-3.0396598110480402e-06,2.8003542728190542e-12,C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\results\2018-01-30T23-37-11.txt,-0.06300123707299289,1.4828683428768391e-34,-1.0,0.0,0.4503863772809674,3.7359788244796697e-32,0.5925,7.414341441382129e-35
9,-3.0396598110480402e-06,2.8003542728190542e-12,C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\results\2018-01-30T23-37-11.txt,-0.05417086712253636,1.2357235886126553e-35,-1.0,3.1415926535897927,0.8954075474240729,4.211043785667695e-33,0.12,6.178617884048851e-36
