# Filename	C:\Users\labuser\Documents\2D-Comp-Model\computationresults\2018-02-24T02-44-25.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\testing.nb
# Note	A phase vs. final energy run at given parameters for the StaPD computational model.
# Date	2018-02-24T02:44:25
# E0	-3.0396598110480402e-6
# l0	3.4641016151377544
# Ep	4.480566836510487e-11
# Emw	7.778761868941818e-10
# fmw	2.4165294551500505e-6
# toff	8.26827466731227e8
# tring	4.134137333656135e8
# tmax	2.8938961335592947e9
dL	th_LRL	phi	enfinal
-1.	0.	0.	NaN
-1.	0.	0.031415926535897934	NaN
-1.	0.	0.06283185307179587	NaN
-1.	0.	0.09424777960769379	0.00009209696443476773
-1.	0.	0.12566370614359174	0.0001428702652082138
-1.	0.	0.15707963267948966	0.00010745948231157107
-1.	0.	0.18849555921538758	-0.00001920113681908899
-1.	0.	0.21991148575128555	0.00016715071831309843
-1.	0.	0.25132741228718347	NaN
-1.	0.	0.2827433388230814	NaN
-1.	0.	0.3141592653589793	NaN
-1.	0.	0.34557519189487723	0.0001563318986495004
-1.	0.	0.37699111843077515	-2.9999855359368496e-6
-1.	0.	0.4084070449666731	NaN
-1.	0.	0.4398229715025711	NaN
-1.	0.	0.47123889803846897	0.0001550445510923724
-1.	0.	0.5026548245743669	4.086893829438583e-6
-1.	0.	0.5340707511102649	NaN
-1.	0.	0.5654866776461628	NaN
-1.	0.	0.5969026041820606	NaN
-1.	0.	0.6283185307179586	NaN
-1.	0.	0.6597344572538565	NaN
-1.	0.	0.6911503837897545	2.894000654726012e-7
-1.	0.	0.7225663103256524	NaN
-1.	0.	0.7539822368615503	NaN
-1.	0.	0.7853981633974483	0.00018285822759012927
-1.	0.	0.8168140899333463	0.00017878380904742913
-1.	0.	0.8482300164692442	NaN
-1.	0.	0.8796459430051422	0.00008357074523375193
-1.	0.	0.91106186954104	1.6391013566126674e-6
-1.	0.	0.9424777960769379	NaN
-1.	0.	0.9738937226128359	NaN
-1.	0.	1.0053096491487339	0.00023055661883168713
-1.	0.	1.0367255756846319	NaN
-1.	0.	1.0681415022205298	0.00005909161381877036
-1.	0.	1.0995574287564276	NaN
-1.	0.	1.1309733552923256	0.00011102395941897371
-1.	0.	1.1623892818282235	0.00013081045286542927
